# File: A44.globaltech_eff.csv
# Title: Building default technology efficiency
# Units: Look up
supplysector,subsector,technology,minicam.energy.input,1971,1990,2005,2020,2035,2050,2065,2080,2095,2100
resid heating,biomass,wood furnace,delivered biomass,0.4,0.4,0.4,0.406,0.412,0.418,0.425,0.431,0.438,0.438
resid heating,coal,coal furnace,delivered coal,0.4,0.4,0.4,0.406,0.412,0.418,0.425,0.431,0.438,0.438
resid heating,gas,gas furnace,delivered gas,0.665,0.665,0.78,0.78,0.792,0.804,0.816,0.828,0.841,0.841
resid heating,gas,gas furnace hi-eff,delivered gas,0.767,0.767,0.9,0.92,0.955,0.97,0.97,0.97,0.97,0.97
resid heating,electricity,electric furnace,elect_td_bld,1,1,1,1,1,1,1,1,1,1
resid heating,electricity,electric heat pump,elect_td_bld,1.584,1.584,2.095,2.405,2.427,2.52,2.616,2.716,2.819,2.819
resid heating,refined liquids,fuel furnace,refined liquids enduse,0.725,0.725,0.78,0.78,0.792,0.804,0.816,0.828,0.841,0.841
resid heating,refined liquids,fuel furnace hi-eff,refined liquids enduse,0.85,0.85,0.85,0.85,0.863,0.876,0.889,0.903,0.916,0.916
resid cooling,electricity,air conditioning,elect_td_bld,2.042,2.042,2.637,2.738,2.842,2.951,3.063,3.18,3.302,3.302
resid cooling,electricity,air conditioning hi-eff,elect_td_bld,3.063,3.063,3.956,4.107,4.263,4.426,4.595,4.77,4.952,4.952
resid hot water,gas,gas water heater,delivered gas,0.499,0.499,0.537,0.59,0.599,0.608,0.617,0.626,0.636,0.636
resid hot water,gas,gas water heater hi-eff,delivered gas,0.694,0.694,0.747,0.77,0.782,0.793,0.805,0.818,0.83,0.83
resid hot water,electricity,electric resistance water heater,elect_td_bld,0.803,0.803,0.842,0.9,0.914,0.927,0.941,0.956,0.97,0.97
resid hot water,electricity,electric resistance water heater hi-eff,elect_td_bld,0.859,0.859,0.901,0.95,0.964,0.979,0.994,1,1,1
resid hot water,electricity,electric heat pump water heater,elect_td_bld,2.2,2.2,2.2,2.2,2.233,2.267,2.301,2.336,2.371,2.371
resid hot water,refined liquids,fuel water heater,refined liquids enduse,0.498,0.498,0.53,0.53,0.538,0.546,0.554,0.563,0.571,0.571
resid hot water,refined liquids,fuel water heater hi-eff,refined liquids enduse,0.639,0.639,0.68,0.68,0.69,0.701,0.711,0.722,0.733,0.733
resid lighting,electricity,incandescent,elect_td_bld,0.021,0.021,0.021,0.021,0.022,0.022,0.022,0.023,0.023,0.023
resid lighting,electricity,fluorescent,elect_td_bld,0.12,0.12,0.12,0.122,0.124,0.126,0.127,0.129,0.131,0.131
resid lighting,electricity,solid state,elect_td_bld,0.154,0.154,0.154,0.154,0.16,0.166,0.172,0.179,0.185,0.185
resid appliances,gas,gas appliances,delivered gas,0.99,0.99,1,1.007,1.015,1.03,1.045,1.061,1.077,1.077
resid appliances,electricity,electric appliances,elect_td_bld,0.709,0.709,1,1.108,1.129,1.146,1.163,1.181,1.199,1.199
resid appliances,electricity,electric appliances hi-eff,elect_td_bld,1,1,1.58,1.675,1.7,1.726,1.752,1.779,1.805,1.805
resid appliances,refined liquids,fuel appliances,refined liquids enduse,1,1,1,1,1,1,1,1,1,1
resid other appliances,electricity,electricity,elect_td_bld,1,1,1,0.913,0.948,0.984,1.022,1.061,1.101,1.101
resid other,gas,gas,delivered gas,1,1,1,1,1,1,1,1,1,1
resid other,electricity,electricity,elect_td_bld,1,1,1,1.091,1.132,1.176,1.22,1.267,1.315,1.315
resid other,refined liquids,refined liquids,refined liquids enduse,1,1,1,1,1,1,1,1,1,1
comm heating,biomass,wood furnace,delivered biomass,0.65,0.65,0.65,0.66,0.67,0.68,0.69,0.701,0.711,0.711
comm heating,coal,coal furnace,delivered coal,0.65,0.65,0.65,0.66,0.67,0.68,0.69,0.701,0.711,0.711
comm heating,gas,gas furnace,delivered gas,0.7,0.7,0.7,0.775,0.787,0.799,0.811,0.823,0.835,0.835
comm heating,gas,gas furnace hi-eff,delivered gas,0.855,0.855,0.855,0.868,0.881,0.894,0.908,0.922,0.935,0.935
comm heating,electricity,electric furnace,elect_td_bld,1,1,1,1,1,1,1,1,1,1
comm heating,electricity,electric heat pump,elect_td_bld,3.1,3.1,3.1,3.3,3.426,3.557,3.692,3.833,3.98,3.98
comm heating,refined liquids,fuel boiler,refined liquids enduse,0.7,0.7,0.7,0.81,0.822,0.835,0.847,0.86,0.873,0.873
comm heating,refined liquids,fuel boiler hi-eff,refined liquids enduse,0.85,0.85,0.85,0.85,0.863,0.876,0.889,0.903,0.916,0.916
comm cooling,gas,gas cooling,delivered gas,0.833,0.833,0.833,0.919,0.967,0.98,0.98,0.98,0.98,0.98
comm cooling,electricity,air conditioning,elect_td_bld,2.4,2.4,2.4,2.782,2.888,2.998,3.113,3.231,3.355,3.355
comm cooling,electricity,air conditioning hi-eff,elect_td_bld,3.66,3.66,3.66,3.514,3.648,3.787,3.932,4.082,4.238,4.238
comm hot water,gas,gas water heater,delivered gas,0.78,0.78,0.78,0.792,0.804,0.816,0.828,0.841,0.853,0.853
comm hot water,gas,gas water heater hi-eff,delivered gas,0.94,0.94,0.94,0.954,0.969,0.983,0.99,0.99,0.99,0.99
comm hot water,electricity,electric resistance water heater,elect_td_bld,0.983,0.983,0.983,0.99,0.99,0.99,0.99,0.99,0.99,0.99
comm hot water,electricity,electric heat pump water heater,elect_td_bld,2.1,2.1,2.1,2.2,2.4,2.436,2.473,2.51,2.548,2.548
comm hot water,refined liquids,fuel water heater,refined liquids enduse,0.768,0.768,0.768,0.801,0.805,0.817,0.829,0.842,0.855,0.855
comm ventilation,electricity,ventilation,elect_td_bld,0.743,0.743,0.71,0.721,0.732,0.743,0.754,0.754,0.754,0.754
comm ventilation,electricity,ventilation hi-eff,elect_td_bld,0.743,0.743,0.854,0.867,0.88,0.893,0.907,0.907,0.907,0.907
