# File: RECS_1979.csv
# Title: Residential Energy Consumption Survey 1979
# Source: https://www.eia.gov/consumption/residential/data
# Units: TBTU
DIVISION,TBTUELSPH,TBTUELWTH,TBTUELCOL,TBTUELAPL,TBTUNGSPH,TBTUNGWTH,TBTUNGAPL,TBTUFOSPH,TBTUFOWTH,TBTULPSPH,TBTULPWTH,TBTULPAPL
1,8.17,12.47,1.72,73.53,98.8,33.25,12.92,264.6,54.54,4,2.4,3.25
2,34.84,32.16,13.4,215.74,536.4,161.1,81,622.7,150.15,8.96,3.22,3.85
3,47.36,47.36,20.72,288.6,1082.37,303.02,83.93,110.85,4.8,67.68,15.24,6.72
4,13.23,18.27,33.39,131.04,404.34,111.78,25.76,38,0.5,49.32,10.71,4.32
5,51.8,98,89.6,278.6,279.3,111.23,27.93,242.2,24.85,55.68,17.52,15.36
6,47.32,39,42.64,113.88,135.47,48.07,11.04,0,0,20.15,3.1,2
7,19.25,17.71,97.02,160.16,271.45,170.8,57.95,0,0,18.66,8.82,3.54
8,8.61,9.84,12.3,79.13,210,74.1,10.5,0,0,20.76,4.8,1.4
9,44.84,36.58,9.44,211.22,303.49,227.84,63.19,30.85,0.75,3.52,7.36,2.76
