# File: Dooley_CCS_USA.csv
# Title: CO2 Storage Capacity
# Units: In columns
# Source: Dahowski, R., Dooley, J., Davidson, C., Bachu, S. & Gupta, N. Building the Cost Curves for CO2 Storage: North America. IEA Greenhouse Gas R&D Programme, Cheltenham, UK. (2005).
# Wise, M., Dooley, J., Dahowski, R. & Davidson, C. Modeling the impacts of climate policy on the deployment of carbon dioxide capture and geologic storage across electric power regions in the United States. International Journal of Greenhouse Gas Control 1, 261-270 (2007).
# Dahowski, R. T., Davidson, C. L., Li, X. C. & Wei, N. A $70/tCO2 greenhouse gas mitigation backstop for China's industrial and electric power sectors: Insights from a comprehensive CCS cost curve. International Journal of Greenhouse Gas Control 11, 73-85, doi:10.1016/j.ijggc.2012.07.024 (2012).
# Dahowski, R., Davidson, C. & Dooley, J. Comparing large scale CCS deployment potential in the USA and China: A detailed analysis based on country-specific CO2 transport & storage cost curves. Energy Procedia 4, 2732-2739, doi:DOI: 10.1016/j.egypro.2011.02.175 (2011).
# Column types: cccnn 
# ----------
Timestep,GENUNIT,state,CO2_Mt,Cost_2005USDtCO2
TS1,P0925,OK,173.8,-60.92
TS1,P0683,MO,63.4,-60.08
TS1,P1135,TX,32.2,-58.53
TS2,P1135,TX,32.2,-58.53
TS1,P1175,TX,124.5,-57.78
TS2,P1175,TX,124.5,-57.78
TS1,E00247,TX,14.6,-57.75
TS2,E00247,TX,14.6,-57.75
TS1,P1130,TX,20.3,-57.39
TS2,P1130,TX,20.3,-57.39
TS1,P0800,NM,15.1,-57.05
TS2,P0800,NM,15.1,-57.05
TS1,P0933,OK,36.8,-56.31
TS1,G01278,CA,21.9,-56.22
TS1,G01688,TX,6.7,-56.18
TS2,G01688,TX,6.7,-56.18
TS1,G01581,TX,8.8,-55.99
TS2,G01581,TX,8.8,-55.99
TS3,G01581,TX,8.8,-55.99
TS1,P0170,CA,3.8,-55.78
TS1,C02065,TX,6.5,-55.33
TS2,C02065,TX,6.5,-55.33
TS1,P1139,TX,6.5,-55.31
TS2,P1139,TX,6.5,-55.31
TS1,P0155,CA,34.5,-55.01
TS1,G01468,NM,6,-54.91
TS2,G01468,NM,6,-54.91
TS3,G01468,NM,6,-54.91
TS1,P0181,CA,31.6,-54.87
TS1,P0803,NM,5.4,-54.81
TS2,P0803,NM,5.4,-54.81
TS1,P0128,CA,27.5,-54.77
TS1,G01341,KS,29.2,-54.6
TS1,G01628,TX,4.9,-54.54
TS2,G01628,TX,4.9,-54.54
TS1,P0142,CA,20.9,-54.53
TS1,P0130,CA,44.9,-54.38
TS1,G01272,CA,2.7,-54.25
TS1,EL0044,IL,13.4,-54.21
TS1,R00605,CA,45.1,-54.17
TS1,R00606,CA,45.1,-54.17
TS1,P1116,TX,21.3,-54.13
TS2,P1116,TX,21.3,-54.13
TS1,G01471,NM,7.3,-54.1
TS2,G01471,NM,7.3,-54.1
TS3,G01471,NM,7.3,-54.1
TS1,P0187,CA,36.7,-53.99
TS1,G01657,TX,4.8,-53.97
TS2,G01657,TX,4.8,-53.97
TS1,P1136,TX,74.3,-53.73
TS1,P0121,CA,34.4,-53.72
TS1,G01724,TX,7.4,-53.72
TS2,G01724,TX,7.4,-53.72
TS1,P1106,TX,142.7,-53.68
TS1,R00617,CA,27.5,-53.66
TS1,C02057,CA,10.9,-53.64
TS1,P1113,TX,115.6,-53.33
TS1,A00367,OK,8.6,-53.19
TS2,A00367,OK,8.6,-53.19
TS1,R00621,CA,22.6,-53.06
TS1,P0146,CA,44.1,-53.06
TS1,R00684,NM,10.1,-52.94
