# File: reeds_PV_curve_capacity.csv
# Title: Solar PV Resource Potential by ReEDS Region; PV Class; and Bin
# Units: MW
# Comments: PV resource potential in MW for each region-class-bin. Bins are the portions of the interconnection supply curves. Summing across bins will provide total resource in a region and class.
# Source: Information based on ReEDS version 2017.  Files provided by ReEDS team in April 2017.
# Column types: ccnnnnn 
# ----------
BA,PV.class,upvsc1,upvsc2,upvsc3,upvsc4,upvsc5
p31,class5,36.9603,64.1277,12.0042,32.8536,0
p31,class6,768.5847,5842.8864,6208.3827,6495.2199,10360.5723
p31,class7,602657.5932,687589.2036,683618.6565,652527.1467,687991.3443
p31,class8,396235.2654,467698.7952,491059.6002,499668.8229,483532.0191
p32,class5,60376.0716,91192.1166,103129.6617,109891.5012,109105.8579
p32,class6,61.9164,182.9061,1576.341,3223.1277,2336.0805
p33,class4,551.8773,5283.7434,11135.7909,1929.8331,1313.1963
p33,class5,25694.9901,49327.1532,40745.7297,29392.5996,40969.3869
p33,class6,277149.8106,350694.8055,356356.0494,340863.0498,262222.272
p33,class7,25.9038,56.2302,281.151,159.8454,1450.6128
p34,class4,37.2762,18.6381,14.2155,0,0
p34,class5,7902.5544,4040.0451,2069.4609,5642.9217,1473.0417
p34,class6,163331.3565,235918.8585,239342.2668,240553.1115,124551.1566
p34,class7,326002.7979,411394.0428,409838.2353,402497.9829,324863.6625
p34,class8,59.7051,45.8055,3542.8185,2259.0009,2629.2357
p35,class3,1.8954,11750.5323,9613.1529,5744.9574,6177.7404
p35,class4,216957.9087,238904.7453,251407.7514,245314.9881,236438.514
p35,class5,1975.6386,51143.8941,57120.0903,56699.3115,52271.973
p36,class3,61216.3656,13511.9907,110226.0393,118924.6617,120188.8935
p36,class4,347755.9878,387493.3647,382901.1264,392308.9443,403112.7243
p36,class5,217.6551,1075.9554,2859.2109,7161.7689,7668.4725
p37,class3,455838.9615,463166.262,453999.1599,460869.3531,451364.238
p37,class4,124545.1545,162803.8035,162853.7157,160686.0099,129022.4052
p38,class3,109.6173,12156.1479,12233.8593,14307.4269,18403.7022
p38,class4,731233.6317,728303.3433,717851.4759,714030.0336,684049.5441
p38,class5,255923.5419,323567.2089,338975.5473,338497.2747,320726.3202
p39,class5,131786.5302,148332.7404,145078.3386,147702.8358,149663.6271
p39,class6,137893.509,159057.8613,155761.1289,136926.2232,144434.5344
p40,class4,94746.3075,133037.1783,133982.0352,133387.8273,134034.7905
p40,class5,606405.7467,624199.1301,610990.7193,607271.3127,607305.114
p40,class6,80.2386,154.4751,22467.7557,22303.4877,26129.6685
p41,class4,64019.3463,80838.1782,76875.2127,79184.4417,50705.7408
p41,class5,741.4173,37204.1748,43626.4218,36126.6399,37282.518
p42,class3,264228.237,267763.7898,263169.3402,256866.8193,218560.4694
p42,class4,130.1508,11651.0238,10870.7508,3394.3455,294.4188
p43,class3,409751.6787,446544.5517,443962.3851,453834.576,459989.8875
p43,class4,137763.99,219085.4952,219467.1024,219493.3221,198237.6747
p44,class4,133584.0012,138897.7551,137333.4183,136440.6849,133293.6891
p45,class3,30.6423,4888.5525,10678.0518,7794.8325,5990.0958
p45,class4,338131.7784,341509.0653,345405.3759,350397.8595,353812.4226
p46,class3,221950.0764,233963.1216,229067.9352,223576.3296,230623.7427
p46,class4,2379.9906,31739.4207,45639.3366,37577.5686,29672.8029
p47,class7,382436.1216,385406.5293,382791.1932,367728.4494,357926.0724
p47,class8,273.5694,3938.3253,13984.5771,13256.1117,7452.081
p48,class6,98436.6513,115560.0108,118759.1301,121461.0228,120428.0298
p48,class7,484047.8838,503301.9888,516296.2194,510513.6699,510363.9333
p49,class6,49852.4949,52858.5993,53145.1206,50766.0777,50462.1819
p49,class7,55709.2809,56054.8755,57543.0804,55169.0919,51482.8548
p50,class4,251.4564,15017.5701,33885.6453,33463.287,25017.7005
p50,class5,404376.0084,447073.3683,451241.3529,452815.4826,449075.5425
p50,class6,309555.1485,343878.6312,345097.0575,341782.3188,345324.8214
p51,class4,15.795,1577.2887,1300.8762,809.0199,1570.6548
p51,class5,130900.7466,151778.2617,149868.6462,152876.0142,158098.473
p52,class5,16.1109,7657.7319,13421.0115,16248.6324,15298.7211
p52,class6,352963.9152,358353.1692,359551.6938,354403.1556,328255.4808
p52,class7,16.4268,11099.1465,18542.0664,8476.5447,3568.4064
p53,class4,34760.0565,63352.4814,70246.9989,68525.9757,64759.1841
p53,class5,654619.0365,698776.8021,712091.0394,717123.3264,714463.4484
p53,class6,277930.3995,284793.6429,282617.7237,278163.5337,277400.3193
p54,class4,236733.5646,265598.6112,264775.0599,263886.7491,258732.2088
p55,class4,149162.2938,153102.1986,146363.1039,144147.6972,141828.9912
p55,class5,176.5881,12564.6066,18285.5556,19137.5379,9353.4831
p56,class4,9269.4537,42619.6485,36831.4128,57988.1835,69564.9708
p56,class5,3041.1693,50273.9055,55936.413,50518.728,18451.719
p57,class5,67262.0598,82057.8681,80084.4408,75522.5289,69865.7076
p58,class4,118.4625,19308.7557,14575.3101,16655.1957,14367.132
p58,class5,284796.1701,379711.8,380976.3477,376465.6116,363114.414
p58,class6,10.4247,30.0105,34.4331,88.7679,49.9122
p59,class7,112.1445,99.8244,0,0,0
p59,class8,4047.3108,16526.9403,19139.7492,16950.2463,8882.7921
p60,class6,275996.1438,288779.6691,292047.9705,288475.7733,291399.4278
p60,class7,64634.0877,86201.2125,92741.2902,93779.3376,91956.5946
p61,class5,2.2113,23054.6979,31928.3289,35316.6723,29124.7164
p61,class6,279322.5708,291924.4536,283282.6932,267891.0975,222591.0375
p61,class7,255781.071,272233.4589,269410.2606,249452.0145,216132.7779
p61,class8,173356.1271,172552.4775,157328.9406,140855.0715,121520.0961
p62,class6,18.6381,4158.5076,3225.9708,3386.448,1938.3624
p62,class7,197079.2694,207535.8753,206620.3971,206547.7401,198914.3325
p63,class5,542729.4678,606697.9542,603702.2745,599016.5298,589541.4252
p63,class6,206752.4433,240020.1882,242787.1563,248387.1156,252804.9771
p64,class4,13.8996,15.4791,17.0586,21.7971,0
p64,class5,312551.46,341551.08,342557.2215,340441.0074,272495.0241
p64,class6,48260.3589,70460.8632,76018.4919,73725.3738,60305.9418
p65,class4,1214.6355,270.0945,1422.8136,1238.0121,555.0363
p65,class5,645766.8867,666131.3802,652605.8058,651567.7584,609004.9719
p65,class6,240.7158,43396.1307,49012.5168,45913.5378,32184.5238
p66,class4,39268.2654,67233.6288,63090.6003,46992.6522,27763.1874
p66,class5,37918.7406,107322.2865,114571.5597,96412.68,100403.1288
p67,class4,278.6238,7371.8424,13257.6912,8031.1257,7755.0291
p67,class5,4924.881,32350.3713,43963.4871,41137.4457,7764.822
p68,class3,44103.1149,42893.2179,47841.1596,54498.1203,44316.9792
p68,class4,72885.0798,90125.3223,91970.1783,93242.3076,89448.6645
p69,class3,55080.6399,68885.4699,65934.3321,68481.4338,67030.5051
p69,class4,36291.5397,49783.3128,56734.6923,57872.2482,43174.3689
p70,class3,130.4667,16630.2396,30169.0818,30494.7747,23045.8527
p70,class4,375570.9828,410720.8599,410822.2638,408223.3545,405177.1308
p71,class4,92242.4841,97381.8612,96479.9667,95576.4927,94389.0246
p72,class4,142401.0861,187917.2217,192678.1506,187878.9978,196522.3377
p73,class4,12670.1172,35561.4948,37930.4289,22773.8628,32020.2558
p74,class3,107232.255,114866.2944,120887.6643,123085.0647,106487.9946
p74,class4,13.5837,62.8641,1180.8342,2397.681,123.8328
p75,class3,127614.123,145612.2096,139229.4501,137305.3032,123381.063
p75,class4,1212.7401,32538.3318,46161.5193,44613.6093,7042.9905
p76,class3,114151.0968,126941.5719,128809.8045,125639.748,98992.0035
p76,class4,2363.2479,10340.0388,10452.4992,27823.5243,17062.7067
p77,class3,20102.9283,43418.8755,46525.752,52217.9541,42402.9411
p77,class4,4539.7989,6671.4921,8961.4512,12818.9061,25186.0752
p78,class3,24088.0068,32791.0518,32202.5301,32289.7185,30083.157
p78,class4,909.1602,1971.216,2458.3338,1399.1211,1790.8371
p79,class3,13380.8922,53330.238,57607.524,54265.9338,43983.0729
p79,class4,232.5024,43.5942,221.4459,163.0044,217.3392
p80,class3,51253.1955,119136.3147,121813.5672,116692.8282,91648.2762
p80,class4,4745.1339,81753.3405,112433.8644,104440.9626,68326.6428
p81,class3,4.7385,41.067,1484.0982,1068.3738,158.2659
p81,class4,410673.159,423843.03,430032.7746,430289.6013,399011.7105
p82,class3,5.3703,137.4165,116.5671,55.9143,0
p82,class4,50168.3949,57568.9842,65868.309,67335.0327,59386.041
p83,class3,32.8536,4060.2627,6641.7975,8154.9585,5429.6892
p83,class4,226544.526,240037.8786,241089.5097,235391.3055,238501.0251
p84,class4,98488.7748,128745.3609,122349.3336,116645.1273,130901.0625
p84,class5,84.6612,5605.3296,21323.25,3709.2978,11967.2397
p85,class4,96310.3284,145209.1212,150428.7369,163300.0824,153368.8182
p85,class5,304398.3969,365205.9879,369781.4835,366459.795,356565.1752
p86,class5,79655.4486,96711.2055,96634.1259,95833.9512,88151.895
p87,class4,12.3201,6010.6293,7079.319,5720.0013,2557.8423
p87,class5,448403.6232,500069.3841,491567.5674,490723.1667,454214.6037
p88,class4,26027.9487,45533.5101,45724.3137,46573.7688,44567.4879
p88,class5,136005.6906,141522.5682,136075.1886,138361.9887,132252.4827
p89,class4,41886.7605,91563.615,99957.078,101417.1678,98009.8704
p89,class5,74615.58,145648.2222,158819.6727,159311.529,166393.3752
p90,class4,359.4942,17621.5338,17804.7558,12291.9849,23351.328
p90,class5,312468.6942,362617.8192,364637.6838,363370.6089,374426.793
p90,class6,30.6423,32.2218,68.2344,215.1279,22.7448
p91,class5,77568.6132,105557.985,99387.1944,95593.8672,90216.9333
p91,class6,0.9477,75.816,156.0546,110.565,46.7532
p92,class4,259911.1476,356644.1502,361725.0858,383607.4788,407822.1615
p92,class5,1599.0858,1156.5099,1271.8134,4405.8573,8965.8738
p93,class4,103240.5426,118362.3597,108401.4009,108994.3452,109506.1032
p94,class4,619.7958,11249.199,33363.4626,36217.3032,31598.8452
p94,class5,598356.2988,696236.6502,717524.8353,730974.5937,688099.3821
p95,class5,60512.2245,95193.306,96733.9503,99494.9163,93065.4036
p96,class5,231900.6105,283896.4869,285676.2675,281922.7437,262835.7498
p96,class6,1.8954,0,0,0,0
p97,class4,179.7471,452.3688,7782.1965,839.6622,2175.6033
p97,class5,83587.7718,128818.3338,132430.9662,135193.5117,143037.3087
p98,class4,14.2155,38.5398,2216.3544,7601.5017,4514.5269
p98,class5,343211.4504,406573.0929,406593.6264,397068.9255,368288.2242
p99,class4,101668.3083,137608.2513,141392.1015,129733.1802,68543.3502
p99,class5,92854.6983,181340.1837,192079.836,199428.3018,203945.04
p100,class4,8015.9625,17174.2194,17891.3124,6030.2151,12213.0099
p101,class5,196099.9794,277128.3294,293740.2468,296991.1737,298674.9207
p101,class6,8288.9001,96374.772,114442.0407,117905.8842,97456.0977
p102,class5,11770.7499,57010.7889,26862.8724,34815.339,34785.0126
p102,class6,1957.9482,910.4238,998.244,14161.797,2578.0599
p103,class3,479351.7144,560196.8424,545003.0001,519381.9306,493506.2457
p103,class4,34.4331,1185.5727,625.1661,991.6101,1156.194
p104,class3,30019.0293,43844.3928,46909.8864,43329.7917,22923.2835
p105,class3,200830.266,232755.4359,232492.2912,229213.881,226445.9652
p105,class4,78401.9574,101279.4354,104360.724,105495.7527,105221.8674
p106,class3,8.5293,82.7658,532.6074,201.5442,107.0901
p106,class4,1014.039,4525.5834,8256.6783,7897.1841,8885.0034
p107,class3,2.5272,3394.9773,2444.7501,2919.5478,2199.9276
p107,class4,188811.2187,220201.8858,224029.962,224627.013,229746.4884
p108,class4,74188.1673,77685.4962,75196.836,67256.0577,63594.7767
p109,class4,105922.5336,166018.4019,159130.2024,160972.8471,128484.7434
p110,class4,134.2575,158.8977,428.0445,295.9983,133.6257
p111,class3,38335.7286,97841.4957,111967.9119,102912.0066,115509.7827
p112,class3,207951.9156,264406.7205,252143.7984,243823.3083,247555.3509
p112,class4,2403.3672,63827.9109,78435.1269,47346.4602,48870.0459
p113,class3,39.4875,8038.0755,14978.3985,20471.2677,19485.3438
p113,class4,13316.7645,45498.7611,50421.4308,51910.8993,47584.6488
p114,class4,2295.9612,25669.7181,39189.6063,27242.5842,17634.1698
p115,class3,3227.8662,2480.1309,14516.5527,9850.0779,11830.7709
p116,class3,949.9113,3282.8328,3582.6219,5133.375,2820.0393
p116,class4,9429.2991,21338.7291,7532.0037,12444.8805,9675.0693
p117,class3,17.0586,39.4875,53.0712,18.954,35.6967
p117,class4,4174.6185,578.4129,1529.9037,3950.6454,2523.7251
p118,class4,9365.4873,9292.8303,21886.4997,17086.7151,17327.4309
p118,class5,689.6097,2043.873,16925.2902,14620.4838,7652.6775
p119,class3,3811.9653,14677.0299,11609.9568,9205.6419,11896.1622
p120,class3,10.4247,573.6744,631.1682,218.9187,111.5127
p120,class4,6679.0737,13537.8945,10080.369,3655.9107,2354.0868
p121,class3,21.1653,2824.7778,1742.1885,2409.3693,544.9275
p121,class4,3752.5761,11029.0167,6291.7803,15325.5726,3627.4797
p122,class2,20.5335,131.4144,44.8578,83.3976,51.4917
p122,class3,19703.9466,100009.5174,118746.1782,120545.2287,94574.4579
p122,class4,20369.5479,38146.8204,51813.918,54539.8191,43194.2706
p123,class4,28358.343,85860.0405,91222.1271,93680.145,89980.3242
p123,class5,64.7595,794.4885,3125.8305,4052.6811,3808.8063
p124,class4,497.2266,1166.3028,928.4301,869.9886,489.3291
p124,class5,14474.8539,8954.5014,6293.9916,5690.9385,3934.8504
p125,class4,20638.3788,21966.7383,27651.9906,31359.393,34930.0107
p126,class3,0.9477,2.2113,5.0544,40.4352,101.4039
p126,class4,14213.2887,55574.3916,59096.3607,57473.2665,51326.1684
p127,class2,2.5272,104.5629,24.6402,82.4499,156.3705
p127,class3,98168.7681,290027.1582,281778.3774,282400.0686,305408.0133
p127,class4,5115.6846,3801.2247,8896.0599,9390.7593,7522.2108
p128,class4,707.3001,2249.8398,7713.6462,3053.1735,2669.9868
p129,class2,1.5795,4.7385,11.3724,0,0
p129,class3,2245.7331,29543.2839,13046.0382,21570.5997,6610.2075
p129,class4,6.6339,0,0,0,0
p130,class3,143.7345,4709.4372,14136.2091,13783.6647,4737.2364
p130,class4,7115.0157,18854.4915,26291.0934,10342.566,6167.6316
p131,class3,137.4165,1896.9795,9750.5694,10955.7279,5447.3796
p131,class4,6171.4224,21196.2582,26560.5561,20772.6363,3040.5375
p132,class3,31.9059,1616.1444,2211.3,1896.9795,694.3482
p132,class4,2187.6075,7439.7609,19126.4814,21066.7392,3051.9099
p133,class4,1540.9602,4445.3448,9416.3472,7246.746,3333.6927
p134,class3,109167.7743,215753.6979,251761.8753,248804.1036,227300.4747
p134,class4,12356.1126,33557.1093,39869.4231,39451.1715,9753.4125
