# File: A23.elecS_tech_mapping_cool.csv
# Title: Multiple Load Segments to Single Electricity Sector / Cooling Technology Mapping
# Units: NA
# Comments: Mapping file between single electricity sector and multiple load segments electricity sector technologies
# Column types: cccccccccc
# ----------
Electric.sector,subsector,Electric.sector.technology,supplysector,subsector_1,technology,to.technology,plant_type,cooling_system,water_type
base load generation,coal,coal_base_conv pul,electricity,coal,coal (conv pul),coal (conv pul) (once through),coal,once through,fresh
base load generation,coal,coal_base_conv pul,electricity,coal,coal (conv pul),coal (conv pul) (seawater),coal,once through,seawater
base load generation,coal,coal_base_conv pul,electricity,coal,coal (conv pul),coal (conv pul) (recirculating),coal,recirculating,fresh
base load generation,coal,coal_base_conv pul,electricity,coal,coal (conv pul),coal (conv pul) (cooling pond),coal,cooling pond,fresh
base load generation,coal,coal_base_conv pul,electricity,coal,coal (conv pul),coal (conv pul) (dry cooling),coal,dry cooling,fresh
base load generation,coal,coal_base_conv pul before 1950,electricity,coal,coal (conv pul),coal (conv pul) (once through),coal,once through,fresh
base load generation,coal,coal_base_conv pul before 1950,electricity,coal,coal (conv pul),coal (conv pul) (seawater),coal,once through,seawater
base load generation,coal,coal_base_conv pul before 1950,electricity,coal,coal (conv pul),coal (conv pul) (recirculating),coal,recirculating,fresh
base load generation,coal,coal_base_conv pul before 1950,electricity,coal,coal (conv pul),coal (conv pul) (cooling pond),coal,cooling pond,fresh
base load generation,coal,coal_base_conv pul before 1950,electricity,coal,coal (conv pul),coal (conv pul) (dry cooling),coal,dry cooling,fresh
base load generation,coal,coal_base_conv pul 1951-1955,electricity,coal,coal (conv pul),coal (conv pul) (once through),coal,once through,fresh
base load generation,coal,coal_base_conv pul 1951-1955,electricity,coal,coal (conv pul),coal (conv pul) (seawater),coal,once through,seawater
base load generation,coal,coal_base_conv pul 1951-1955,electricity,coal,coal (conv pul),coal (conv pul) (recirculating),coal,recirculating,fresh
base load generation,coal,coal_base_conv pul 1951-1955,electricity,coal,coal (conv pul),coal (conv pul) (cooling pond),coal,cooling pond,fresh
base load generation,coal,coal_base_conv pul 1951-1955,electricity,coal,coal (conv pul),coal (conv pul) (dry cooling),coal,dry cooling,fresh
base load generation,coal,coal_base_conv pul 1956-1960,electricity,coal,coal (conv pul),coal (conv pul) (once through),coal,once through,fresh
base load generation,coal,coal_base_conv pul 1956-1960,electricity,coal,coal (conv pul),coal (conv pul) (seawater),coal,once through,seawater
base load generation,coal,coal_base_conv pul 1956-1960,electricity,coal,coal (conv pul),coal (conv pul) (recirculating),coal,recirculating,fresh
base load generation,coal,coal_base_conv pul 1956-1960,electricity,coal,coal (conv pul),coal (conv pul) (cooling pond),coal,cooling pond,fresh
base load generation,coal,coal_base_conv pul 1956-1960,electricity,coal,coal (conv pul),coal (conv pul) (dry cooling),coal,dry cooling,fresh
base load generation,coal,coal_base_conv pul 1961-1965,electricity,coal,coal (conv pul),coal (conv pul) (once through),coal,once through,fresh
