# File: IMAGE_an_head_bySystem.csv
# Title: IMAGE animal production head by system
# Units: Mhead
# Author: XZ
# Source: IMAGE v3.2 (Jonathan Doelman Oct 2022)
# Column types: iccnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
year,system,commodity,Canada,USA,Mexico,Rest Central America,Brazil,Rest South America,Northern Africa,Western Africa,Eastern Africa,South Africa,OECD Europe,Eastern Europe,Turkey,Ukraine +,Asia-Stan,Russia +,Middle East,India,Korea,China +,South East Asia,Indonesia +,Japan,Oceania,Rest of S. Asia,Rest of S. Africa
1970,intensive grazing system,non-dairy cattle,7.30,80.56,5.18,6.10,13.34,14.31,5.99,8.47,4.46,2.42,59.45,18.47,1.94,16.68,2.40,29.98,1.75,102.95,0.89,25.04,22.94,7.39,2.36,6.66,27.77,0.86
1970,intensive grazing system,dairy cattle,2.01,9.95,1.06,2.17,4.81,4.64,3.58,2.78,6.58,0.51,34.66,15.54,5.69,10.78,3.89,21.45,4.49,33.30,0.01,2.30,0.85,0.56,1.15,0.40,10.81,0.32
1970,intensive grazing system,pigs,7.93,68.41,14.55,5.29,21.29,14.38,0.06,4.25,1.18,2.27,104.93,55.51,0.01,22.36,4.17,38.15,0.13,7.37,2.76,82.42,18.56,5.32,7.99,2.84,0.34,1.55
1970,intensive grazing system,sheep & goats,0.14,6.47,5.42,1.18,8.09,38.01,43.90,25.46,40.16,21.70,95.23,45.38,52.26,9.98,61.25,66.33,69.76,63.52,0.36,16.23,1.74,7.18,0.25,11.64,38.27,0.00
1970,intensive grazing system,poultry,95.17,1181.33,93.88,120.35,217.40,287.08,201.10,299.16,203.81,69.84,1046.78,488.36,48.15,193.96,81.44,450.61,217.43,221.31,49.26,1572.72,464.08,142.66,261.84,53.88,183.76,108.83
1970,extensive grazing system,non-dairy cattle,2.06,20.14,15.53,9.95,53.35,81.12,0.25,25.41,51.27,3.57,0.00,0.00,7.76,0.00,7.19,0.00,5.25,97.63,1.09,46.51,9.83,1.85,0.00,19.97,25.61,22.75
1970,extensive grazing system,dairy cattle,0.44,2.19,0.35,0.58,4.81,3.79,0.10,4.01,9.47,0.39,0.00,0.00,0.00,0.00,2.59,0.00,0.18,2.13,0.01,2.30,0.04,0.02,0.00,4.58,0.69,4.26
1970,extensive grazing system,pigs,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970,extensive grazing system,sheep & goats,0.37,16.65,10.17,2.21,15.17,71.32,3.82,38.20,60.24,19.14,0.00,0.00,4.14,0.00,4.86,0.00,5.53,47.44,0.24,146.10,0.85,3.54,0.00,221.25,27.68,21.23
1970,extensive grazing system,poultry,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1970,total,non-dairy cattle,9.36,100.70,20.71,16.06,66.69,95.43,6.24,33.88,55.73,5.99,59.45,18.47,9.70,16.68,9.58,29.98,7.00,200.57,1.99,71.55,32.76,9.24,2.36,26.63,53.38,23.60
1970,total,dairy cattle,2.45,12.14,1.42,2.75,9.63,8.43,3.68,6.79,16.06,0.90,34.66,15.54,5.69,10.78,6.48,21.45,4.67,35.42,0.02,4.61,0.89,0.58,1.15,4.98,11.50,4.58
1970,total,pigs,7.93,68.41,14.55,5.29,21.29,14.38,0.06,4.25,1.18,2.27,104.93,55.51,0.01,22.36,4.17,38.15,0.13,7.37,2.76,82.42,18.56,5.32,7.99,2.84,0.34,1.55
1970,total,sheep & goats,0.51,23.12,15.59,3.39,23.26,109.33,47.72,63.66,100.40,40.84,95.23,45.38,56.40,9.98,66.10,66.33,75.29,110.97,0.60,162.33,2.59,10.71,0.25,232.89,65.95,21.23
1970,total,poultry,95.17,1181.33,93.88,120.35,217.40,287.08,201.10,299.16,203.81,69.84,1046.78,488.36,48.15,193.96,81.44,450.61,217.43,221.31,49.26,1572.72,464.08,142.66,261.84,53.88,183.76,108.83
1971,intensive grazing system,non-dairy cattle,7.58,82.93,5.75,6.16,14.19,15.57,6.07,8.43,4.63,2.48,60.33,18.66,1.86,17.06,2.45,30.67,1.77,101.27,0.94,25.89,23.14,6.95,2.39,7.21,27.25,0.89
1971,intensive grazing system,dairy cattle,1.95,9.84,1.06,2.19,4.99,4.83,3.66,2.78,6.68,0.50,34.54,15.62,5.74,10.78,3.89,21.46,4.59,33.65,0.01,2.33,0.89,0.56,1.20,0.39,10.97,0.33
1971,intensive grazing system,pigs,8.06,66.88,15.64,5.50,20.99,15.08,0.06,4.39,1.23,2.42,106.20,57.55,0.01,22.96,4.29,39.30,0.14,7.69,2.93,86.37,18.83,5.34,8.67,3.00,0.32,1.61
1971,intensive grazing system,sheep & goats,0.15,6.05,5.52,1.22,8.39,38.06,44.62,26.30,41.06,20.73,94.66,44.40,52.39,9.99,61.30,66.39,68.55,63.80,0.36,16.35,1.86,6.82,0.21,11.34,38.64,0.00
1971,intensive grazing system,poultry,96.20,1174.91,100.57,125.85,233.87,304.02,204.03,306.02,203.44,74.39,1086.70,500.71,51.06,204.46,83.79,473.08,222.60,236.70,52.12,1605.58,472.65,153.32,280.82,55.92,186.83,116.23
