# File: IMAGE_an_feed_bySystem.csv
# Title: IMAGE animal production feed inputs by system
# Units: Gg dm
# Author: XZ
# Source: IMAGE v3.2 (Jonathan Doelman Oct 2022)
# Column types: icccnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
year,system,feed,commodity,Canada,USA,Mexico,Rest Central America,Brazil,Rest South America,Northern Africa,Western Africa,Eastern Africa,South Africa,OECD Europe,Eastern Europe,Turkey,Ukraine +,Asia-Stan,Russia +,Middle East,India,Korea,China +,South East Asia,Indonesia +,Japan,Oceania,Rest of S. Asia,Rest of S. Africa
1970,intensive grazing system,food crops,non-dairy cattle,4984,40532,1811,1173,8923,5358,767,2730,1163,1320,17634,5474,799,6823,1950,13875,397,19137,1050,10452,3471,565,462,148,6883,403
1970,intensive grazing system,food crops,dairy cattle,3199,13262,430,594,4527,2633,580,1284,1367,601,23337,9176,2310,7457,3899,16582,391,1400,20,1047,31,19,632,19,575,225
1970,intensive grazing system,food crops,pigs,3455,28102,1655,284,1855,1408,7,190,64,317,46334,12729,2,4442,878,9057,25,129,292,7768,415,102,3057,935,9,84
1970,intensive grazing system,food crops,sheep & goats,5,138,39,7,34,149,224,73,98,161,515,347,2515,106,2030,1008,254,528,3,80,7,19,1,438,415,0
1970,intensive grazing system,food crops,poultry,1949,21012,1499,934,2081,3065,1087,1452,1090,643,19878,7101,777,3021,1214,6842,1638,549,738,11500,4481,491,4865,1045,460,454
1970,intensive grazing system,food crops,total,13591,103046,5435,2993,17421,12613,2664,5729,3781,3042,107698,34827,6403,21849,9971,47364,2705,21743,2104,30847,8404,1196,9017,2584,8342,1165
1970,intensive grazing system,animal products,non-dairy cattle,28,89,9,3,16,43,17,2,2,20,625,123,7,142,21,277,6,70,0,4,2,0,2,87,18,1
1970,intensive grazing system,animal products,dairy cattle,18,29,4,3,8,34,13,1,5,9,827,205,25,155,44,331,18,29,0,0,0,0,3,11,9,0
1970,intensive grazing system,animal products,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,intensive grazing system,animal products,sheep & goats,0,0,0,0,0,2,6,0,1,4,18,8,32,2,28,20,14,7,0,0,0,0,0,24,5,0
1970,intensive grazing system,animal products,poultry,62,802,16,16,74,65,4,4,19,17,664,324,21,68,49,144,12,0,23,49,75,0,105,18,1,0
1970,intensive grazing system,animal products,total,108,920,30,22,98,143,40,7,27,50,2134,660,84,368,142,772,49,105,23,54,77,0,110,141,33,1
1970,intensive grazing system,residues,non-dairy cattle,3341,58940,2022,1994,1843,2734,4823,2187,370,1134,47897,11061,1030,8722,587,13274,1179,29247,0,11428,14927,1087,2300,3678,6249,155
1970,intensive grazing system,residues,dairy cattle,2144,19286,1393,2306,1661,4360,3744,1503,2769,568,63387,18540,4639,9533,1582,15864,4795,20899,0,1322,835,147,3148,476,6712,147
1970,intensive grazing system,residues,pigs,303,2668,3441,1439,5966,4031,16,1075,360,416,5988,15599,3,7450,1209,10371,30,2447,1150,44018,7876,1938,677,411,99,475
1970,intensive grazing system,residues,sheep & goats,3,200,15,4,13,31,1394,29,58,91,1398,701,5017,135,902,965,3042,4926,0,19,8,20,5,86,3960,0
1970,intensive grazing system,residues,poultry,58,642,132,1609,2425,3426,1356,3516,2291,573,1594,1456,24,1369,255,2880,2510,3108,143,34962,6872,1965,285,46,1399,1361
1970,intensive grazing system,residues,total,5850,81736,7003,7351,11908,14583,11332,8310,5849,2781,120263,47357,10714,27209,4534,43355,11556,60628,1293,91749,30519,5157,6416,4697,18420,2138
1970,intensive grazing system,scavenging,non-dairy cattle,0,0,641,636,1346,1631,468,703,384,353,0,0,153,0,213,0,132,60677,117,1826,4600,1652,0,0,16467,80
1970,intensive grazing system,scavenging,dairy cattle,0,0,183,291,0,704,331,279,691,118,0,0,533,0,422,0,398,22328,2,198,217,166,0,0,7296,37
1970,intensive grazing system,scavenging,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,intensive grazing system,scavenging,sheep & goats,0,0,54,11,0,181,463,204,313,256,0,0,2158,0,845,0,945,5462,3,99,57,156,0,549,4380,0
1970,intensive grazing system,scavenging,poultry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,intensive grazing system,scavenging,total,0,0,878,937,1346,2516,1262,1186,1388,728,0,0,2844,0,1480,0,1474,88466,122,2122,4874,1974,0,549,28143,117
1970,intensive grazing system,grass & fodder,non-dairy cattle,12528,149341,8327,8880,14823,22787,3271,8434,5758,4241,99235,24986,1071,23530,1492,41140,922,12126,1167,12767,23000,13217,4147,11739,3291,958
1970,intensive grazing system,grass & fodder,dairy cattle,3574,21718,1645,2613,6196,6325,2001,2510,8976,1060,58367,18614,3217,17145,2549,32778,2401,0,18,1382,1083,1327,1621,760,0,335
1970,intensive grazing system,grass & fodder,pigs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,intensive grazing system,grass & fodder,sheep & goats,69,3046,968,202,895,3265,2550,1734,2663,2050,17372,9499,11883,2186,4651,17940,5200,0,59,1783,213,583,26,4391,0,0
