# File: IMAGE_an_meat.csv
# Title: IMAGE animal production meat
# Units: Gg dm
# Author: XZ
# Source: IMAGE model (Jonathan Doelman)
# Column types: icnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
year,commodity,Canada,USA,Mexico,Rest Central America,Brazil,Rest South America,Northern Africa,Western Africa,Eastern Africa,South Africa,OECD Europe,Eastern Europe,Turkey,Ukraine +,Asia-Stan,Russia +,Middle East,India,Korea,China +,South East Asia,Indonesia +,Japan,Oceania,Rest of S. Asia,Rest of S. Africa
1970,beef,438,5034,255,273,926,1939,185,264,375,202,3571,899,62,826,406,1399,111,644,30,129,268,96,130,702,298,183
1970,milk,1028,6680,540,352,921,1422,357,204,662,357,14645,4282,935,2980,1237,5568,486,2746,9,273,34,45,577,1695,1256,146
1970,pork,360,3077,246,80,378,272,2,49,18,40,5023,2049,0,745,138,1320,4,91,80,3359,526,80,364,110,3,23
1970,mutton & goat meat,4,127,19,7,29,183,109,102,163,96,386,129,161,25,249,212,185,192,1,155,7,19,0,669,153,31
1970,poultry & eggs,368,4300,278,186,352,485,151,158,131,111,4081,1059,103,451,154,1040,258,194,126,1465,616,73,1086,195,110,52
1970,total,2199,19218,1338,897,2606,4300,802,778,1348,807,27706,8417,1262,5027,2184,9538,1044,3867,245,5380,1450,312,2158,3372,1820,436
1971,beef,440,5036,251,273,976,1896,187,268,376,215,3581,902,62,836,412,1417,116,658,31,135,276,102,137,766,302,194
1971,milk,1011,6661,587,365,935,1451,366,201,673,353,14741,4384,943,3023,1254,5649,497,2796,11,282,36,44,599,1696,1280,149
1971,pork,372,3063,266,84,376,289,2,50,18,43,5173,2143,0,777,144,1376,4,94,86,3520,533,81,402,119,3,24
1971,mutton & goat meat,4,123,21,7,29,172,113,101,163,95,390,130,166,25,245,209,186,191,1,164,7,20,0,674,157,32
1971,poultry & eggs,380,4358,298,197,384,520,156,166,135,118,4271,1129,112,487,167,1124,279,209,137,1522,645,78,1157,205,113,56
1971,total,2207,19241,1422,925,2700,4327,824,787,1366,824,28156,8687,1283,5148,2221,9775,1080,3950,267,5623,1497,324,2296,3460,1855,455
1972,beef,450,5119,248,269,997,1834,191,267,378,229,3707,928,62,861,424,1458,121,675,33,142,295,109,146,808,305,201
1972,milk,989,6655,638,376,980,1473,376,197,683,344,14870,4510,957,3097,1284,5788,511,2869,13,292,39,45,608,1671,1304,151
1972,pork,388,3102,292,87,376,301,2,52,19,44,5374,2302,0,822,152,1456,4,99,93,3690,532,83,453,124,3,25
1972,mutton & goat meat,4,119,22,7,29,163,116,100,162,88,402,130,169,25,245,209,186,191,2,174,8,21,0,647,163,33
1972,poultry & eggs,385,4398,315,206,415,565,163,174,138,124,4421,1209,122,528,181,1222,301,224,144,1581,669,83,1205,218,116,60
1972,total,2217,19393,1514,945,2797,4336,847,789,1380,829,28773,9080,1310,5333,2286,10134,1124,4057,286,5879,1542,341,2412,3468,1891,470
1973,beef,474,5236,253,268,1028,1826,195,263,376,241,3803,974,64,893,439,1512,125,692,39,150,303,115,153,874,310,204
1973,milk,975,6636,691,385,1045,1512,388,193,694,334,15060,4623,979,3152,1307,5893,530,2989,16,302,42,45,613,1647,1331,155
1973,pork,379,3015,325,89,376,315,2,53,20,45,5520,2455,0,861,159,1524,4,103,99,3875,524,84,484,124,3,26
1973,mutton & goat meat,4,113,23,7,30,153,118,101,163,84,413,129,176,25,244,208,186,192,2,188,8,22,0,618,171,33
1973,poultry & eggs,379,4383,332,218,450,605,171,183,142,135,4529,1284,133,564,194,1309,326,241,152,1646,701,90,1234,227,118,64
1973,total,2211,19382,1624,967,2929,4411,874,793,1396,839,29325,9464,1352,5495,2343,10446,1171,4217,308,6162,1579,356,2484,3490,1934,482
1974,beef,501,5434,272,273,1085,1938,197,266,383,251,3870,1031,64,922,454,1562,130,709,42,158,310,121,153,977,315,206
1974,milk,969,6655,742,398,1129,1544,401,192,707,330,15321,4742,1004,3195,1324,5973,558,3109,20,314,46,46,624,1637,1363,158
1974,pork,362,2907,365,92,374,325,2,55,20,46,5623,2534,0,827,153,1465,5,105,106,3965,522,85,505,122,3,27
