# File: L101.in_EJ_ctry_trn_Fi_Yh.csv
# Title: Pre-built L101.in_EJ_ctry_trn_Fi_Yh.csv
# Units: NA
# Consumption of energy by the transport sector by fuel and historical year. Aggregates by fuel and country
iso,sector,fuel,year,value
abw,in_trn_domestic air,refined liquids,1971,0
abw,in_trn_domestic ship,refined liquids,1971,0
abw,in_trn_international air,refined liquids,1971,3.506273258577132e-4
abw,in_trn_international ship,refined liquids,1971,9.142701776397359e-4
abw,in_trn_road,refined liquids,1971,8.3886645164883e-5
abw,in_trn_unspecified,refined liquids,1971,0
afg,in_trn_domestic air,refined liquids,1971,0
afg,in_trn_domestic ship,refined liquids,1971,5.13057840601666e-4
afg,in_trn_international air,refined liquids,1971,0.005720594922708575
afg,in_trn_international ship,refined liquids,1971,0.004643173457445076
afg,in_trn_road,refined liquids,1971,0.008927206426468987
afg,in_trn_unspecified,refined liquids,1971,0
ago,in_trn_domestic air,refined liquids,1971,0
ago,in_trn_domestic ship,refined liquids,1971,0
ago,in_trn_international air,refined liquids,1971,0.00322322
ago,in_trn_international ship,refined liquids,1971,0.010088260000000002
ago,in_trn_road,refined liquids,1971,0.01406496
ago,in_trn_unspecified,refined liquids,1971,0
alb,in_trn_domestic ship,refined liquids,1971,0
alb,in_trn_international air,refined liquids,1971,0
alb,in_trn_rail,refined liquids,1971,0
alb,in_trn_road,refined liquids,1971,0.010213840000000002
alb,in_trn_unspecified,electricity,1971,0
ant,in_trn_international air,refined liquids,1971,0.00221858
ant,in_trn_international ship,refined liquids,1971,0.10084074000000001
ant,in_trn_road,refined liquids,1971,0.0205114
are,in_trn_international air,refined liquids,1971,2.9302e-4
are,in_trn_international ship,refined liquids,1971,0
are,in_trn_road,refined liquids,1971,0.00573482
arg,in_trn_domestic air,refined liquids,1971,0.01657656
arg,in_trn_domestic ship,refined liquids,1971,0.02687412
arg,in_trn_international air,refined liquids,1971,0
arg,in_trn_international ship,refined liquids,1971,0.00883246
arg,in_trn_rail,coal,1971,8.372000000000001e-4
arg,in_trn_rail,electricity,1971,0.0010465000000000001
arg,in_trn_road,gas,1971,0
arg,in_trn_road,refined liquids,1971,0.29176420000000003
arm,in_trn_domestic ship,refined liquids,1971,0.00300668672855516
arm,in_trn_international air,refined liquids,1971,0
arm,in_trn_international ship,refined liquids,1971,0.002109949447852761
arm,in_trn_rail,coal,1971,4.922261098117042e-4
arm,in_trn_rail,electricity,1971,0.0011953972180134681
arm,in_trn_rail,refined liquids,1971,0.0046323657544542814
arm,in_trn_road,gas,1971,1.6002586891757697e-4
arm,in_trn_road,refined liquids,1971,0.017795586223258716
arm,in_trn_unspecified,electricity,1971,0
arm,in_trn_unspecified,refined liquids,1971,0.0016847003758091877
atg,in_trn_domestic air,refined liquids,1971,0
atg,in_trn_domestic ship,refined liquids,1971,0
atg,in_trn_international air,refined liquids,1971,3.9259831163266956e-4
atg,in_trn_international ship,refined liquids,1971,0.0010237106513002407
atg,in_trn_road,refined liquids,1971,9.392809068631074e-5
atg,in_trn_unspecified,refined liquids,1971,0
aus,in_trn_domestic air,refined liquids,1971,0.02766946
aus,in_trn_domestic ship,coal,1971,0
aus,in_trn_domestic ship,refined liquids,1971,0.04043676
aus,in_trn_international air,refined liquids,1971,0.02222766
aus,in_trn_international ship,refined liquids,1971,0.06685042000000001
