# File: L101.in_EJ_ctry_bld_Fi_Yh.csv
# Title: Pre-built L101.in_EJ_ctry_bld_Fi_Yh.csv
# Units: NA
# Consumption of energy by the building sector by fuel and historical year. Aggregates by fuel and country
iso,sector,fuel,year,value
abw,in_bld_comm,biomass,1971,1.790838492284019e-5
abw,in_bld_comm,coal,1971,2.1678571222385492e-5
abw,in_bld_comm,electricity,1971,2.309239108471498e-4
abw,in_bld_comm,gas,1971,2.8276397246589776e-6
abw,in_bld_comm,refined liquids,1971,0.0011640450199846123
abw,in_bld_resid,biomass,1971,1.8850931497726516e-6
abw,in_bld_resid,electricity,1971,1.0368012323749583e-5
abw,in_bld_resid,gas,1971,9.425465748863258e-7
abw,in_bld_resid,refined liquids,1971,1.979347807261284e-5
abw,in_bld_resid,traditional biomass,1971,7.446117941601974e-5
afg,in_bld_comm,biomass,1971,0
afg,in_bld_comm,coal,1971,0.005592330462558158
afg,in_bld_comm,electricity,1971,0.0044636032132344934
afg,in_bld_comm,gas,1971,0.004951008161806076
afg,in_bld_comm,refined liquids,1971,0.019265321914592556
afg,in_bld_resid,biomass,1971,0
afg,in_bld_resid,coal,1971,5.387107326317492e-4
afg,in_bld_resid,electricity,1971,2.56528920300833e-4
afg,in_bld_resid,refined liquids,1971,6.156694087219991e-4
afg,in_bld_resid,traditional biomass,1971,0.025550280461962966
ago,in_bld_comm,refined liquids,1971,0
ago,in_bld_resid,biomass,1971,0.01498588
ago,in_bld_resid,electricity,1971,0.00138138
ago,in_bld_resid,refined liquids,1971,0.0017581200000000002
ago,in_bld_resid,traditional biomass,1971,0.08125026
alb,in_bld_comm,biomass,1971,0
alb,in_bld_comm,coal,1971,0.0039767000000000005
alb,in_bld_comm,electricity,1971,0.0039767000000000005
alb,in_bld_comm,gas,1971,0.00443716
alb,in_bld_comm,refined liquids,1971,0.0038511200000000004
alb,in_bld_resid,biomass,1971,0.0156975
alb,in_bld_resid,coal,1971,0
alb,in_bld_resid,electricity,1971,0
alb,in_bld_resid,gas,1971,0
alb,in_bld_resid,heat,1971,0
alb,in_bld_resid,refined liquids,1971,6.279e-4
ant,in_bld_comm,electricity,1971,7.534800000000001e-4
ant,in_bld_resid,refined liquids,1971,0.00569296
are,in_bld_comm,biomass,1971,0
are,in_bld_comm,electricity,1971,2.5116e-4
are,in_bld_resid,electricity,1971,3.3488e-4
are,in_bld_resid,refined liquids,1971,0
arg,in_bld_comm,biomass,1971,0
arg,in_bld_comm,electricity,1971,0.012976600000000001
arg,in_bld_comm,gas,1971,0
arg,in_bld_comm,refined liquids,1971,0.03750656
arg,in_bld_resid,biomass,1971,0.01084174
arg,in_bld_resid,electricity,1971,0.01900444
arg,in_bld_resid,gas,1971,0.049478520000000005
arg,in_bld_resid,refined liquids,1971,0.07384104
arg,in_bld_resid,traditional biomass,1971,0.00707434
arm,in_bld_comm,biomass,1971,0
arm,in_bld_comm,coal,1971,0.0030584529301627803
arm,in_bld_comm,electricity,1971,0.0022019575631313133
arm,in_bld_comm,gas,1971,0.005947628128103278
