IMAGE_region_ID,commodity,year,Prod
1,Beef,1990,910
1,Dairy,1990,7879
1,Pork,1990,1151
1,SheepGoat,1990,9
1,Poultry,1990,1034
2,Beef,1990,10613
2,Dairy,1990,66507
2,Pork,1990,7216
2,SheepGoat,1990,190
2,Poultry,1990,14726
3,Beef,1990,1183
3,Dairy,1990,6576
3,Pork,1990,783
3,SheepGoat,1990,61
3,Poultry,1990,1865
4,Beef,1990,601
4,Dairy,1990,3499
4,Pork,1990,256
4,SheepGoat,1990,21
4,Poultry,1990,969
5,Beef,1990,4317
5,Dairy,1990,15170
5,Pork,1990,1477
5,SheepGoat,1990,110
5,Poultry,1990,3712
6,Beef,1990,4917
6,Dairy,1990,17113
6,Pork,1990,878
6,SheepGoat,1990,255
6,Poultry,1990,2607
7,Beef,1990,611
7,Dairy,1990,4815
7,Pork,1990,6
7,SheepGoat,1990,429
7,Poultry,1990,1237
8,Beef,1990,724
8,Dairy,1990,1997
8,Pork,1990,233
8,SheepGoat,1990,414
8,Poultry,1990,842
9,Beef,1990,942
9,Dairy,1990,7705
9,Pork,1990,130
9,SheepGoat,1990,368
9,Poultry,1990,439
10,Beef,1990,1146
10,Dairy,1990,4019
10,Pork,1990,205
10,SheepGoat,1990,254
10,Poultry,1990,894
11,Beef,1990,9056
11,Dairy,1990,135379
11,Pork,1990,15679
11,SheepGoat,1990,1263
11,Poultry,1990,12056
12,Beef,1990,2345
12,Dairy,1990,41612
12,Pork,1990,6136
12,SheepGoat,1990,313
12,Poultry,1990,3699
13,Beef,1990,357
13,Dairy,1990,9889
13,Pork,1990,0
13,SheepGoat,1990,370
13,Poultry,1990,782
14,Beef,1990,2535
14,Dairy,1990,30068
14,Pork,1990,2003
14,SheepGoat,1990,54
14,Poultry,1990,2006
15,Beef,1990,1241
15,Dairy,1990,12597
15,Pork,1990,369
15,SheepGoat,1990,487
15,Poultry,1990,701
16,Beef,1990,4265
16,Dairy,1990,56181
16,Pork,1990,3553
16,SheepGoat,1990,408
16,Poultry,1990,4799
17,Beef,1990,379
17,Dairy,1990,7173
17,Pork,1990,13
17,SheepGoat,1990,686
17,Poultry,1990,1866
18,Beef,1990,3386
18,Dairy,1990,70360
18,Pork,1990,415
18,SheepGoat,1990,1238
18,Poultry,1990,2110
19,Beef,1990,177
19,Dairy,1990,1850
19,Pork,1990,759
19,SheepGoat,1990,6
19,Poultry,1990,874
20,Beef,1990,1470
20,Dairy,1990,7342
20,Pork,1990,24189
20,SheepGoat,1990,1193
20,Poultry,1990,12459
21,Beef,1990,803
21,Dairy,1990,804
21,Pork,1990,2208
21,SheepGoat,1990,37
21,Poultry,1990,3263
22,Beef,1990,315
22,Dairy,1990,618
22,Pork,1990,562
22,SheepGoat,1990,88
22,Poultry,1990,1008
23,Beef,1990,572
23,Dairy,1990,8157
23,Pork,1990,1528
23,SheepGoat,1990,1
23,Poultry,1990,3836
24,Beef,1990,2208
24,Dairy,1990,14255
24,Pork,1990,375
24,SheepGoat,1990,1201
24,Poultry,1990,708
1,Beef,2005,1282
1,Dairy,2005,8249
1,Pork,2005,1667
1,SheepGoat,2005,10
1,Poultry,2005,1514
2,Beef,2005,12393
2,Dairy,2005,77760
2,Pork,2005,8997
2,SheepGoat,2005,111
2,Poultry,2005,22998
3,Beef,2005,1543
3,Dairy,2005,10204
3,Pork,2005,1122
3,SheepGoat,2005,76
3,Poultry,2005,4246
4,Beef,2005,617
4,Dairy,2005,4502
4,Pork,2005,358
4,SheepGoat,2005,20
4,Poultry,2005,1611
5,Beef,2005,7074
5,Dairy,2005,20656
5,Pork,2005,2834
5,SheepGoat,2005,104
5,Poultry,2005,8293
6,Beef,2005,5497
6,Dairy,2005,26921
6,Pork,2005,1252
6,SheepGoat,2005,245
6,Poultry,2005,5627
7,Beef,2005,986
7,Dairy,2005,8349
7,Pork,2005,0
7,SheepGoat,2005,575
7,Poultry,2005,2300
8,Beef,2005,1082
8,Dairy,2005,3131
8,Pork,2005,366
8,SheepGoat,2005,682
8,Poultry,2005,1379
9,Beef,2005,1329
9,Dairy,2005,11350
9,Pork,2005,210
9,SheepGoat,2005,519
9,Poultry,2005,584
10,Beef,2005,1275
10,Dairy,2005,4841
10,Pork,2005,248
10,SheepGoat,2005,267
10,Poultry,2005,1709
11,Beef,2005,7513
11,Dairy,2005,130039
11,Pork,2005,17629
11,SheepGoat,2005,1154
11,Poultry,2005,14322
12,Beef,2005,1224
12,Dairy,2005,33187
12,Pork,2005,4989
12,SheepGoat,2005,197
12,Poultry,2005,3875
13,Beef,2005,373
13,Dairy,2005,10490
13,Pork,2005,0
13,SheepGoat,2005,384
13,Poultry,2005,1609
14,Beef,2005,996
14,Dairy,2005,18672
14,Pork,2005,1017
14,SheepGoat,2005,20
14,Poultry,2005,1135
15,Beef,2005,951
15,Dairy,2005,10227
15,Pork,2005,193
15,SheepGoat,2005,322
15,Poultry,2005,308
16,Beef,2005,2098
16,Dairy,2005,35045
16,Pork,2005,1626
16,SheepGoat,2005,211
16,Poultry,2005,3025
17,Beef,2005,616
17,Dairy,2005,11834
17,Pork,2005,16
17,SheepGoat,2005,959
17,Poultry,2005,3823
18,Beef,2005,4607
18,Dairy,2005,125541
18,Pork,2005,581
18,SheepGoat,2005,1559
18,Poultry,2005,5166
19,Beef,2005,329
