Commodity,Commodity_Code,Year,State,StFips,Planted All Purposes,Planted All Purposes(UNIT),Harvested,Harvested(UNIT),Yield,Yield(UNIT),Production,Production(UNIT),Price per Unit,Price per Unit(UNIT),Value of production,Value of production(UNIT)
Wheat All,10199999,2006,Alabama,1,100,thousand acres,45,thousand acres,57,bushel,2565,thousand bushels,3.95,dols / bu,10132,thousand dollars
Wheat All,10199999,2006,Arizona,4,79,thousand acres,76,thousand acres,99.7,bushel,7580,thousand bushels,4.85,dols / bu,36774,thousand dollars
Wheat All,10199999,2006,Arkansas,5,365,thousand acres,305,thousand acres,61,bushel,18605,thousand bushels,3.52,dols / bu,65490,thousand dollars
Wheat All,10199999,2006,California,6,520,thousand acres,315,thousand acres,66.5,bushel,20935,thousand bushels,4.14,dols / bu,86686,thousand dollars
Wheat All,10199999,2006,Colorado,8,2170,thousand acres,1919,thousand acres,21.6,bushel,41515,thousand bushels,4.54,dols / bu,189027,thousand dollars
Wheat All,10199999,2006,Delaware,10,48,thousand acres,45,thousand acres,67,bushel,3015,thousand bushels,3.27,dols / bu,9859,thousand dollars
Wheat All,10199999,2006,Florida,12,8,thousand acres,5,thousand acres,42,bushel,210,thousand bushels,3.15,dols / bu,662,thousand dollars
Wheat All,10199999,2006,Georgia,13,230,thousand acres,120,thousand acres,49,bushel,5880,thousand bushels,3.7,dols / bu,21756,thousand dollars
Wheat All,10199999,2006,Idaho,16,1255,thousand acres,1195,thousand acres,75.6,bushel,90315,thousand bushels,4.16,dols / bu,375608,thousand dollars
Wheat All,10199999,2006,Illinois,17,930,thousand acres,910,thousand acres,67,bushel,60970,thousand bushels,3.4,dols / bu,207298,thousand dollars
Wheat All,10199999,2006,Indiana,18,470,thousand acres,460,thousand acres,68,bushel,31280,thousand bushels,3.41,dols / bu,106665,thousand dollars
Wheat All,10199999,2006,Iowa,19,25,thousand acres,18,thousand acres,66,bushel,1188,thousand bushels,3.35,dols / bu,3980,thousand dollars
Wheat All,10199999,2006,Kansas,20,9800,thousand acres,9100,thousand acres,32,bushel,291200,thousand bushels,4.56,dols / bu,1327872,thousand dollars
Wheat All,10199999,2006,Kentucky,21,430,thousand acres,320,thousand acres,71,bushel,22720,thousand bushels,3.45,dols / bu,78384,thousand dollars
Wheat All,10199999,2006,Louisiana,22,115,thousand acres,105,thousand acres,53,bushel,5565,thousand bushels,3.6,dols / bu,20034,thousand dollars
Wheat All,10199999,2006,Maryland,24,210,thousand acres,125,thousand acres,67,bushel,8375,thousand bushels,3.43,dols / bu,28726,thousand dollars
Wheat All,10199999,2006,Michigan,26,660,thousand acres,650,thousand acres,73,bushel,47450,thousand bushels,3.41,dols / bu,161805,thousand dollars
Wheat All,10199999,2006,Minnesota,27,1750,thousand acres,1695,thousand acres,47.4,bushel,80340,thousand bushels,4.55,dols / bu,364404,thousand dollars
Wheat All,10199999,2006,Mississippi,28,85,thousand acres,73,thousand acres,59,bushel,4307,thousand bushels,3.52,dols / bu,15161,thousand dollars
Wheat All,10199999,2006,Missouri,29,1000,thousand acres,910,thousand acres,54,bushel,49140,thousand bushels,3.52,dols / bu,172973,thousand dollars
Wheat All,10199999,2006,Montana,30,5300,thousand acres,5215,thousand acres,29.4,bushel,153075,thousand bushels,4.54,dols / bu,693854,thousand dollars
Wheat All,10199999,2006,Nebraska,31,1800,thousand acres,1700,thousand acres,36,bushel,61200,thousand bushels,4.57,dols / bu,279684,thousand dollars
Wheat All,10199999,2006,Nevada,32,23,thousand acres,10,thousand acres,105.6,bushel,1056,thousand bushels,4.15,dols / bu,4356,thousand dollars
Wheat All,10199999,2006,New Jersey,34,25,thousand acres,22,thousand acres,60,bushel,1320,thousand bushels,3.8,dols / bu,5016,thousand dollars
Wheat All,10199999,2006,New Mexico,35,440,thousand acres,120,thousand acres,34,bushel,4080,thousand bushels,4.55,dols / bu,18564,thousand dollars
Wheat All,10199999,2006,New York,36,105,thousand acres,95,thousand acres,61,bushel,5795,thousand bushels,4.03,dols / bu,23354,thousand dollars
Wheat All,10199999,2006,North Carolina,37,560,thousand acres,420,thousand acres,59,bushel,24780,thousand bushels,3.26,dols / bu,80783,thousand dollars
Wheat All,10199999,2006,North Dakota,38,8800,thousand acres,8290,thousand acres,30.3,bushel,251590,thousand bushels,4.5,dols / bu,1129611,thousand dollars
Wheat All,10199999,2006,Ohio,39,990,thousand acres,960,thousand acres,68,bushel,65280,thousand bushels,3.35,dols / bu,218688,thousand dollars
Wheat All,10199999,2006,Oklahoma,40,5700,thousand acres,3400,thousand acres,24,bushel,81600,thousand bushels,4.7,dols / bu,383520,thousand dollars
Wheat All,10199999,2006,Oregon,41,870,thousand acres,835,thousand acres,51.7,bushel,43190,thousand bushels,4.48,dols / bu,192911,thousand dollars
Wheat All,10199999,2006,Pennsylvania,42,160,thousand acres,150,thousand acres,59,bushel,8850,thousand bushels,3.52,dols / bu,31152,thousand dollars
Wheat All,10199999,2006,South Carolina,45,130,thousand acres,123,thousand acres,50,bushel,6150,thousand bushels,3.05,dols / bu,18758,thousand dollars
Wheat All,10199999,2006,South Dakota,46,3310,thousand acres,2576,thousand acres,32.6,bushel,84090,thousand bushels,4.44,dols / bu,374316,thousand dollars
Wheat All,10199999,2006,Tennessee,47,280,thousand acres,190,thousand acres,64,bushel,12160,thousand bushels,3.53,dols / bu,42925,thousand dollars
Wheat All,10199999,2006,Texas,48,5550,thousand acres,1400,thousand acres,24,bushel,33600,thousand bushels,4.47,dols / bu,150192,thousand dollars
Wheat All,10199999,2006,Utah,49,144,thousand acres,136,thousand acres,45,bushel,6120,thousand bushels,4.85,dols / bu,29385,thousand dollars
Wheat All,10199999,2006,Virginia,51,190,thousand acres,155,thousand acres,68,bushel,10540,thousand bushels,3.24,dols / bu,34150,thousand dollars
Wheat All,10199999,2006,Washington,53,2280,thousand acres,2225,thousand acres,62.1,bushel,138250,thousand bushels,4.49,dols / bu,617865,thousand dollars
Wheat All,10199999,2006,West Virginia,54,8,thousand acres,6,thousand acres,61,bushel,366,thousand bushels,3.5,dols / bu,1281,thousand dollars
Wheat All,10199999,2006,Wisconsin,55,261,thousand acres,240,thousand acres,76.2,bushel,18290,thousand bushels,3.47,dols / bu,63490,thousand dollars
Wheat All,10199999,2006,Wyoming,56,158,thousand acres,141,thousand acres,27.5,bushel,3879,thousand bushels,4.53,dols / bu,17583,thousand dollars
Wheat All,10199999,2006,United States,99,57334,thousand acres,46800,thousand acres,38.6,bushel,1808416,thousand bushels,4.26,dols / bu,7694734,thousand dollars
Rye,10499999,2006,Georgia,13,230,thousand acres,25,thousand acres,26,bushel,650,thousand bushels,4,dols / bu,2600,thousand dollars
Rye,10499999,2006,Oklahoma,40,310,thousand acres,65,thousand acres,16,bushel,1040,thousand bushels,4.1,dols / bu,4264,thousand dollars
Rye,10499999,2006,Other States,98,856,thousand acres,184,thousand acres,29.9,bushel,5503,thousand bushels,3.09,dols / bu,17031,thousand dollars
Rye,10499999,2006,United States,99,1396,thousand acres,274,thousand acres,26.3,bushel,7193,thousand bushels,3.32,dols / bu,23895,thousand dollars
Rice All,10619999,2006,Arkansas,5,1406,thousand acres,1400,thousand acres,6900,pounds,96565,thousand hundredweight,9.43,dols / cwt,910608,thousand dollars
Rice All,10619999,2006,California,6,526,thousand acres,523,thousand acres,7660,pounds,40040,thousand hundredweight,13,dols / cwt,520520,thousand dollars
Rice All,10619999,2006,Louisiana,22,350,thousand acres,345,thousand acres,5880,pounds,20294,thousand hundredweight,9.83,dols / cwt,199490,thousand dollars
Rice All,10619999,2006,Mississippi,28,190,thousand acres,189,thousand acres,7000,pounds,13230,thousand hundredweight,9.38,dols / cwt,124097,thousand dollars
Rice All,10619999,2006,Missouri,29,216,thousand acres,214,thousand acres,6400,pounds,13696,thousand hundredweight,9.38,dols / cwt,128468,thousand dollars
Rice All,10619999,2006,Texas,48,150,thousand acres,150,thousand acres,7170,pounds,10760,thousand hundredweight,10,dols / cwt,107600,thousand dollars
Rice All,10619999,2006,United States,99,2838,thousand acres,2821,thousand acres,6898,pounds,194585,thousand hundredweight,9.96,dols / cwt,1990783,thousand dollars
Corn For Grain,11199199,2006,Alabama,1,200,thousand acres,165,thousand acres,72,bushel,11880,thousand bushels,2.91,dols / bu,34571,thousand dollars
Corn For Grain,11199199,2006,Arizona,4,50,thousand acres,18,thousand acres,170,bushel,3060,thousand bushels,4.37,dols / bu,13372,thousand dollars
Corn For Grain,11199199,2006,Arkansas,5,190,thousand acres,180,thousand acres,146,bushel,26280,thousand bushels,2.73,dols / bu,71744,thousand dollars
Corn For Grain,11199199,2006,California,6,520,thousand acres,110,thousand acres,165,bushel,18150,thousand bushels,3.35,dols / bu,60803,thousand dollars
Corn For Grain,11199199,2006,Colorado,8,1000,thousand acres,860,thousand acres,156,bushel,134160,thousand bushels,3.02,dols / bu,405163,thousand dollars
Corn For Grain,11199199,2006,Connecticut,9,27,thousand acres,,,,,,,,,,
Corn For Grain,11199199,2006,Delaware,10,170,thousand acres,161,thousand acres,145,bushel,23345,thousand bushels,3.61,dols / bu,84275,thousand dollars
Corn For Grain,11199199,2006,Florida,12,60,thousand acres,30,thousand acres,82,bushel,2460,thousand bushels,2.8,dols / bu,6888,thousand dollars
Corn For Grain,11199199,2006,Georgia,13,280,thousand acres,225,thousand acres,110,bushel,24750,thousand bushels,3,dols / bu,74250,thousand dollars
Corn For Grain,11199199,2006,Idaho,16,270,thousand acres,65,thousand acres,170,bushel,11050,thousand bushels,3.89,dols / bu,42985,thousand dollars
Corn For Grain,11199199,2006,Illinois,17,11300,thousand acres,11150,thousand acres,163,bushel,1817450,thousand bushels,3.07,dols / bu,5579572,thousand dollars
Corn For Grain,11199199,2006,Indiana,18,5500,thousand acres,5380,thousand acres,157,bushel,844660,thousand bushels,3.17,dols / bu,2677572,thousand dollars
Corn For Grain,11199199,2006,Iowa,19,12600,thousand acres,12350,thousand acres,166,bushel,2050100,thousand bushels,3.03,dols / bu,6211803,thousand dollars
Corn For Grain,11199199,2006,Kansas,20,3350,thousand acres,3000,thousand acres,115,bushel,345000,thousand bushels,3.08,dols / bu,1062600,thousand dollars
Corn For Grain,11199199,2006,Kentucky,21,1120,thousand acres,1040,thousand acres,146,bushel,151840,thousand bushels,3.18,dols / bu,482851,thousand dollars
Corn For Grain,11199199,2006,Louisiana,22,300,thousand acres,290,thousand acres,140,bushel,40600,thousand bushels,2.8,dols / bu,113680,thousand dollars
Corn For Grain,11199199,2006,Maine,23,26,thousand acres,,,,,,,,,,
Corn For Grain,11199199,2006,Maryland,24,490,thousand acres,425,thousand acres,140,bushel,59500,thousand bushels,3.41,dols / bu,202895,thousand dollars
Corn For Grain,11199199,2006,Massachusetts,25,18,thousand acres,,,,,,,,,,
Corn For Grain,11199199,2006,Michigan,26,2200,thousand acres,1950,thousand acres,147,bushel,286650,thousand bushels,3.1,dols / bu,888615,thousand dollars
