# File: GIS_land_types.csv,,,
# Description: Mapping from GIS land categories to specific categories in databases,,,
# Original source: Yuyu Zhou's GIS data processing,,,
# ----------,,,
Category,LT_SAGE,LT_HYDE,LT_WDPA
101,Tropical Evergreen Forest/Woodland,Unmanaged,Protected
201,Tropical Deciduous Forest/Woodland,Unmanaged,Protected
301,Temperate Broadleaf Evergreen Forest/Woodland,Unmanaged,Protected
401,Temperate Needleleaf Evergreen Forest/Woodland,Unmanaged,Protected
501,Temperate Deciduous Forest/Woodland,Unmanaged,Protected
601,Boreal Evergreen Forest/Woodland,Unmanaged,Protected
701,Boreal Deciduous Forest/Woodland,Unmanaged,Protected
801,Evergreen/Deciduous Mixed Forest/Woodland,Unmanaged,Protected
901,Savanna,Unmanaged,Protected
1001,Grassland/Steppe,Unmanaged,Protected
1101,Dense Shrubland,Unmanaged,Protected
1201,Open Shrubland,Unmanaged,Protected
1301,Tundra,Unmanaged,Protected
1401,Desert,Unmanaged,Protected
1501,Polar Desert/Rock/Ice,Unmanaged,Protected
111,Tropical Evergreen Forest/Woodland,Cropland,Protected
211,Tropical Deciduous Forest/Woodland,Cropland,Protected
311,Temperate Broadleaf Evergreen Forest/Woodland,Cropland,Protected
411,Temperate Needleleaf Evergreen Forest/Woodland,Cropland,Protected
511,Temperate Deciduous Forest/Woodland,Cropland,Protected
611,Boreal Evergreen Forest/Woodland,Cropland,Protected
711,Boreal Deciduous Forest/Woodland,Cropland,Protected
811,Evergreen/Deciduous Mixed Forest/Woodland,Cropland,Protected
911,Savanna,Cropland,Protected
1011,Grassland/Steppe,Cropland,Protected
1111,Dense Shrubland,Cropland,Protected
1211,Open Shrubland,Cropland,Protected
1311,Tundra,Cropland,Protected
1411,Desert,Cropland,Protected
1511,Polar Desert/Rock/Ice,Cropland,Protected
121,Tropical Evergreen Forest/Woodland,Pasture,Protected
221,Tropical Deciduous Forest/Woodland,Pasture,Protected
321,Temperate Broadleaf Evergreen Forest/Woodland,Pasture,Protected
421,Temperate Needleleaf Evergreen Forest/Woodland,Pasture,Protected
521,Temperate Deciduous Forest/Woodland,Pasture,Protected
621,Boreal Evergreen Forest/Woodland,Pasture,Protected
721,Boreal Deciduous Forest/Woodland,Pasture,Protected
821,Evergreen/Deciduous Mixed Forest/Woodland,Pasture,Protected
921,Savanna,Pasture,Protected
1021,Grassland/Steppe,Pasture,Protected
1121,Dense Shrubland,Pasture,Protected
1221,Open Shrubland,Pasture,Protected
1321,Tundra,Pasture,Protected
1421,Desert,Pasture,Protected
1521,Polar Desert/Rock/Ice,Pasture,Protected
131,Tropical Evergreen Forest/Woodland,Urbanland,Protected
231,Tropical Deciduous Forest/Woodland,Urbanland,Protected
331,Temperate Broadleaf Evergreen Forest/Woodland,Urbanland,Protected
431,Temperate Needleleaf Evergreen Forest/Woodland,Urbanland,Protected
531,Temperate Deciduous Forest/Woodland,Urbanland,Protected
631,Boreal Evergreen Forest/Woodland,Urbanland,Protected
731,Boreal Deciduous Forest/Woodland,Urbanland,Protected
831,Evergreen/Deciduous Mixed Forest/Woodland,Urbanland,Protected
931,Savanna,Urbanland,Protected
1031,Grassland/Steppe,Urbanland,Protected
1131,Dense Shrubland,Urbanland,Protected
1231,Open Shrubland,Urbanland,Protected
1331,Tundra,Urbanland,Protected
1431,Desert,Urbanland,Protected
1531,Polar Desert/Rock/Ice,Urbanland,Protected
102,Tropical Evergreen Forest/Woodland,Unmanaged,Non-protected
202,Tropical Deciduous Forest/Woodland,Unmanaged,Non-protected
302,Temperate Broadleaf Evergreen Forest/Woodland,Unmanaged,Non-protected
402,Temperate Needleleaf Evergreen Forest/Woodland,Unmanaged,Non-protected
502,Temperate Deciduous Forest/Woodland,Unmanaged,Non-protected
602,Boreal Evergreen Forest/Woodland,Unmanaged,Non-protected
702,Boreal Deciduous Forest/Woodland,Unmanaged,Non-protected
802,Evergreen/Deciduous Mixed Forest/Woodland,Unmanaged,Non-protected
902,Savanna,Unmanaged,Non-protected
1002,Grassland/Steppe,Unmanaged,Non-protected
1102,Dense Shrubland,Unmanaged,Non-protected
1202,Open Shrubland,Unmanaged,Non-protected
1302,Tundra,Unmanaged,Non-protected
1402,Desert,Unmanaged,Non-protected
1502,Polar Desert/Rock/Ice,Unmanaged,Non-protected
112,Tropical Evergreen Forest/Woodland,Cropland,Non-protected
212,Tropical Deciduous Forest/Woodland,Cropland,Non-protected
312,Temperate Broadleaf Evergreen Forest/Woodland,Cropland,Non-protected
412,Temperate Needleleaf Evergreen Forest/Woodland,Cropland,Non-protected
512,Temperate Deciduous Forest/Woodland,Cropland,Non-protected
612,Boreal Evergreen Forest/Woodland,Cropland,Non-protected
712,Boreal Deciduous Forest/Woodland,Cropland,Non-protected
812,Evergreen/Deciduous Mixed Forest/Woodland,Cropland,Non-protected
912,Savanna,Cropland,Non-protected
1012,Grassland/Steppe,Cropland,Non-protected
1112,Dense Shrubland,Cropland,Non-protected
1212,Open Shrubland,Cropland,Non-protected
1312,Tundra,Cropland,Non-protected
1412,Desert,Cropland,Non-protected
1512,Polar Desert/Rock/Ice,Cropland,Non-protected
122,Tropical Evergreen Forest/Woodland,Pasture,Non-protected
222,Tropical Deciduous Forest/Woodland,Pasture,Non-protected
322,Temperate Broadleaf Evergreen Forest/Woodland,Pasture,Non-protected
