# File: GIS_ctry_reg_AEZ.csv,,,
# Description: Mapping from GIS-based dataset to GCAM regions and AEZs,,,
# Original source: Yuyu Zhou's GIS data processing,,,
# ----------,,,
AEZ_ID,country,AEZ,iso
107,Afghanistan,AEZ07,afg
108,Afghanistan,AEZ08,afg
109,Afghanistan,AEZ09,afg
110,Afghanistan,AEZ10,afg
113,Afghanistan,AEZ13,afg
114,Afghanistan,AEZ14,afg
209,Albania,AEZ09,alb
210,Albania,AEZ10,alb
211,Albania,AEZ11,alb
301,Algeria,AEZ01,dza
307,Algeria,AEZ07,dza
308,Algeria,AEZ08,dza
309,Algeria,AEZ09,dza
310,Algeria,AEZ10,dza
410,Andorra,AEZ10,and
501,Angola,AEZ01,ago
502,Angola,AEZ02,ago
503,Angola,AEZ03,ago
504,Angola,AEZ04,ago
505,Angola,AEZ05,ago
508,Angola,AEZ08,ago
509,Angola,AEZ09,ago
510,Angola,AEZ10,ago
511,Angola,AEZ11,ago
607,Argentina,AEZ07,arg
608,Argentina,AEZ08,arg
609,Argentina,AEZ09,arg
610,Argentina,AEZ10,arg
611,Argentina,AEZ11,arg
612,Argentina,AEZ12,arg
613,Argentina,AEZ13,arg
614,Argentina,AEZ14,arg
615,Argentina,AEZ15,arg
616,Argentina,AEZ16,arg
708,Armenia,AEZ08,arm
709,Armenia,AEZ09,arm
714,Armenia,AEZ14,arm
715,Armenia,AEZ15,arm
801,Australia,AEZ01,aus
802,Australia,AEZ02,aus
803,Australia,AEZ03,aus
804,Australia,AEZ04,aus
805,Australia,AEZ05,aus
806,Australia,AEZ06,aus
807,Australia,AEZ07,aus
808,Australia,AEZ08,aus
809,Australia,AEZ09,aus
810,Australia,AEZ10,aus
811,Australia,AEZ11,aus
812,Australia,AEZ12,aus
817,Australia,AEZ17,aus
910,Austria,AEZ10,aut
911,Austria,AEZ11,aut
915,Austria,AEZ15,aut
916,Austria,AEZ16,aut
1008,Azerbaijan,AEZ08,aze
1009,Azerbaijan,AEZ09,aze
1014,Azerbaijan,AEZ14,aze
1015,Azerbaijan,AEZ15,aze
1104,Bangladesh,AEZ04,bgd
1105,Bangladesh,AEZ05,bgd
1210,Bellux,AEZ10,bel
1211,Bellux,AEZ11,bel
1310,Belarus,AEZ10,blr
1406,Belize,AEZ06,blz
1503,Benin,AEZ03,ben
1504,Benin,AEZ04,ben
1505,Benin,AEZ05,ben
1611,Bhutan,AEZ11,btn
1612,Bhutan,AEZ12,btn
1616,Bhutan,AEZ16,btn
1701,Bolivia,AEZ01,bol
1702,Bolivia,AEZ02,bol
1703,Bolivia,AEZ03,bol
1704,Bolivia,AEZ04,bol
1705,Bolivia,AEZ05,bol
1706,Bolivia,AEZ06,bol
1707,Bolivia,AEZ07,bol
1708,Bolivia,AEZ08,bol
1709,Bolivia,AEZ09,bol
1710,Bolivia,AEZ10,bol
1711,Bolivia,AEZ11,bol
1712,Bolivia,AEZ12,bol
1713,Bolivia,AEZ13,bol
1714,Bolivia,AEZ14,bol
1715,Bolivia,AEZ15,bol
1716,Bolivia,AEZ16,bol
1810,Bosnia Herzg,AEZ10,bih
1811,Bosnia Herzg,AEZ11,bih
