# File: USDA_item_cost.csv,,
# Description: Maps crops in USDA cost database to GCAM commodities,,
# ----------,,
USDA_crop,GTAP_crop,GCAM_commodity
Barley,Barley,OtherGrain
Corn,Maize,Corn
Cotton,SeedCotton,FiberCrop
Oats,Oats,OtherGrain
Peanuts,GrndntWShll,OilCrop
Rice,PaddyRice,Rice
Sorghum,Sorghum,OtherGrain
Soybeans,Soybeans,OilCrop
Sugarbeets,SugarBeets,SugarCrop
Wheat,Wheat,Wheat
