# Table 4. Biodiesel producers and production capacity by state in March 2014,
# http://www.eia.gov/biofuels/biodiesel/production/table4.pdf,
state,Mgal.yr
AL,46
AZ,2
AR,58
CA,59
FL,8
GA,14
HI,6
ID,0
IL,167
IN,104
IA,290
KS,1
KY,49
ME,1
MA,1
MI,0
MN,105
MS,105
MO,201
NV,1
NH,4
NY,0
NC,10
ND,85
OH,64
OK,52
OR,17
PA,51
RI,2
TN,14
TX,396
UT,10
VA,9
WA,104
WI,29
