# Table 4 base years from Annual Energy Outlook editions between 1996 and 2013,,,,,,,,,,,,,,,,,,,,
Fuel,Service,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Electricity,Space Heating,0.420,0.420,0.440,0.460,0.420,0.370,0.390,0.410,0.378,0.386,0.404,0.394,0.310,0.263,0.266,0.285,0.284,0.297,0.374
Electricity,Space Cooling,0.480,0.450,0.490,0.480,0.450,0.560,0.550,0.520,0.628,0.711,0.652,0.649,0.821,0.833,0.910,0.872,0.811,0.915,0.827
Electricity,Water Heating,0.350,0.350,0.360,0.360,0.400,0.400,0.400,0.460,0.380,0.368,0.372,0.372,0.382,0.418,0.427,0.432,0.442,0.446,0.437
Electricity,Refrigeration,0.470,0.420,0.410,0.410,0.460,0.440,0.430,0.430,0.432,0.412,0.405,0.397,0.394,0.390,0.381,0.374,0.376,0.376,0.378
Electricity,Cooking,0.100,0.120,0.130,0.130,0.100,0.100,0.100,0.100,0.101,0.101,0.103,0.105,0.102,0.104,0.104,0.105,0.106,0.108,0.105
Electricity,Clothes Dryers,0.170,0.180,0.190,0.190,0.220,0.210,0.220,0.220,0.235,0.238,0.241,0.245,0.253,0.267,0.264,0.188,0.193,0.196,0.199
Electricity,Freezers,0.140,0.140,0.130,0.130,0.130,0.120,0.120,0.110,0.138,0.134,0.131,0.127,0.084,0.083,0.081,0.080,0.082,0.082,0.080
Electricity,Lighting,0.310,0.310,0.330,0.350,0.330,0.330,0.340,0.740,0.718,0.759,0.757,0.725,0.727,0.743,0.726,0.720,0.701,0.652,0.638
Electricity,Clothes Washers,0.000,0.000,0.030,0.030,0.030,0.030,0.030,0.030,0.031,0.032,0.032,0.033,0.035,0.035,0.035,0.034,0.033,0.033,0.032
Electricity,Dishwashers,0.000,0.000,0.050,0.050,0.050,0.020,0.020,0.020,0.024,0.024,0.024,0.024,0.096,0.096,0.093,0.092,0.101,0.103,0.100
Electricity,Color Televisions,0.000,0.000,0.190,0.210,0.110,0.120,0.120,0.130,0.116,0.125,0.132,0.295,0.299,0.339,0.324,0.333,0.322,0.318,0.334
Electricity,Personal Computers,0.000,0.000,0.010,0.020,0.030,0.050,0.040,0.060,0.065,0.068,0.069,0.074,0.065,0.143,0.152,0.173,0.169,0.159,0.128
Electricity,Furnace Fans,0.000,0.000,0.110,0.090,0.080,0.070,0.080,0.070,0.073,0.079,0.083,0.083,0.059,0.114,0.129,0.137,0.135,0.134,0.118
Electricity,Other Uses,0.950,1.060,0.710,0.780,0.870,1.020,1.080,0.780,0.785,0.885,0.939,0.890,1.010,0.784,0.858,0.885,0.900,1.114,1.105
Natural Gas,Space Heating,3.550,3.450,3.450,3.770,3.490,3.050,3.200,3.320,3.386,3.519,3.693,3.530,3.594,2.849,3.212,3.400,3.310,3.323,3.089
Natural Gas,Space Cooling,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.022
Natural Gas,Water Heating,1.270,1.250,1.240,1.310,1.260,1.250,1.280,1.480,1.157,1.141,1.170,1.157,1.089,1.352,1.339,1.329,1.318,1.296,1.200
Natural Gas,Cooking,0.170,0.150,0.150,0.160,0.190,0.190,0.190,0.200,0.213,0.207,0.213,0.215,0.216,0.217,0.217,0.216,0.216,0.217,0.210
Natural Gas,Clothes Dryers,0.050,0.040,0.050,0.050,0.060,0.060,0.070,0.060,0.066,0.069,0.071,0.070,0.072,0.073,0.072,0.052,0.054,0.056,0.050
Natural Gas,Other Uses,0.050,0.090,0.090,0.090,0.120,0.110,0.110,0.060,0.094,0.099,0.099,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.247
Distillate,Space Heating,0.810,0.780,0.800,0.830,0.780,0.660,0.680,0.710,0.774,0.792,0.791,0.807,0.746,0.589,0.611,0.555,0.498,0.485,0.459
Distillate,Water Heating,0.100,0.100,0.090,0.100,0.120,0.130,0.130,0.140,0.130,0.126,0.114,0.120,0.109,0.122,0.115,0.108,0.103,0.097,0.059
Distillate,Other Uses,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.007
Liquefied Petroleum Gas,Space Heating,0.270,0.290,0.290,0.320,0.300,0.280,0.360,0.300,0.285,0.310,0.287,0.292,0.265,0.205,0.216,0.259,0.257,0.282,0.366
Liquefied Petroleum Gas,Water Heating,0.050,0.060,0.070,0.070,0.100,0.100,0.120,0.100,0.047,0.052,0.048,0.048,0.058,0.098,0.092,0.086,0.078,0.072,0.072
Liquefied Petroleum Gas,Cooking,0.020,0.030,0.030,0.030,0.030,0.030,0.040,0.030,0.026,0.029,0.026,0.027,0.031,0.032,0.031,0.031,0.031,0.031,0.029
Liquefied Petroleum Gas,Other Uses,0.060,0.010,0.010,0.010,0.010,0.010,0.010,0.130,0.138,0.175,0.162,0.170,0.150,0.152,0.142,0.143,0.142,0.145,0.040
