# ../emissions-data/level1//L114.bcoc_tgej_R_en_S_F_2000.csv
# Written by L114.bcoc_en_R_S_T_Y.R
# Fri Mar 14 14:55:24 2014
# " BC / OC emissions factors by GCAM region / sector / technology / 2000 "
# " Unit = Tg / EJ "
"GCAM_region_ID","Non.CO2","supplysector","subsector","stub.technology","X2000"
1,"BC","comm cooling","gas","gas",0
1,"BC","comm heating","biomass","biomass",0.0627972919487472
1,"BC","comm heating","gas","gas",0
1,"BC","comm heating","refined liquids","refined liquids",0.0132635877389652
1,"BC","comm others","coal","coal",0.543849110696436
1,"BC","comm others","gas","gas",0
1,"BC","comm others","refined liquids","refined liquids",0.0132635877389652
1,"BC","electricity","biomass","biomass (conv)",0.00489218947694247
1,"BC","electricity","coal","coal (conv pul)",4.05466884291255e-05
1,"BC","electricity","gas","gas (steam/CT)",3.49204088722607e-06
1,"BC","electricity","refined liquids","refined liquids (steam/CT)",0.000458323953556069
1,"BC","industrial energy use","biomass","biomass",0.00304594383022628
1,"BC","industrial energy use","coal","coal",0.0239186450838484
1,"BC","industrial energy use","gas","gas",5.60536085350562e-07
1,"BC","industrial energy use","refined liquids","refined liquids",0.0305334573904853
1,"BC","N fertilizer","gas","gas",5.60536085350562e-07
1,"BC","resid heating","biomass","biomass",0
1,"BC","resid heating","gas","gas",2.1698959442467e-05
1,"BC","resid heating","refined liquids","refined liquids",0.0141785583058904
1,"BC","resid others","gas","gas",2.1698959442467e-05
1,"BC","resid others","refined liquids","refined liquids",0.0141785583058904
1,"BC","transportation","gas","gas",0
1,"BC","transportation","refined liquids","refined liquids",0.00828277830123637
1,"OC","comm cooling","gas","gas",0.000145324788387752
1,"OC","comm heating","biomass","biomass",0.347522186334167
1,"OC","comm heating","gas","gas",0.000145324788387752
1,"OC","comm heating","refined liquids","refined liquids",0.00678845041758059
1,"OC","comm others","coal","coal",0.442832960617279
1,"OC","comm others","gas","gas",0.000145324788387752
1,"OC","comm others","refined liquids","refined liquids",0.00678845041758059
1,"OC","electricity","biomass","biomass (conv)",0.0107137658729875
1,"OC","electricity","coal","coal (conv pul)",1.9809069156214e-05
1,"OC","electricity","gas","gas (steam/CT)",1.74602044361303e-05
1,"OC","electricity","refined liquids","refined liquids (steam/CT)",0.00017354013775424
1,"OC","industrial energy use","biomass","biomass",0.00872780059045609
1,"OC","industrial energy use","coal","coal",0.0189817171686702
1,"OC","industrial energy use","gas","gas",3.92375259745393e-06
1,"OC","industrial energy use","refined liquids","refined liquids",0.00973026030847717
1,"OC","N fertilizer","gas","gas",3.92375259745393e-06
1,"OC","resid heating","biomass","biomass",0
1,"OC","resid heating","gas","gas",0.000130193756654802
1,"OC","resid heating","refined liquids","refined liquids",0.00768005241569062
1,"OC","resid others","gas","gas",0.000130193756654802
1,"OC","resid others","refined liquids","refined liquids",0.00768005241569062
1,"OC","transportation","gas","gas",0
1,"OC","transportation","refined liquids","refined liquids",0.00613981938937154
2,"BC","comm heating","coal","coal",16.8641166617926
2,"BC","comm heating","refined liquids","refined liquids",0.41128814331864
2,"BC","comm others","biomass","biomass",1.94726963166708
2,"BC","comm others","coal","coal",16.8641166617926
2,"BC","comm others","refined liquids","refined liquids",0.41128814331864
2,"BC","electricity","biomass","biomass (conv)",0.00315148959301988
2,"BC","electricity","coal","coal (conv pul)",2.61196887851675e-05
2,"BC","electricity","refined liquids","refined liquids (steam/CT)",0.000295246775839599
2,"BC","industrial energy use","biomass","biomass",0.00474323767375077
2,"BC","industrial energy use","coal","coal",0.0372468518102499
2,"BC","industrial energy use","refined liquids","refined liquids",0.0475476415445437
2,"BC","N fertilizer","refined liquids","refined liquids",0.0475476415445438
2,"BC","resid others","biomass","biomass",0
2,"BC","resid others","coal","coal",0
2,"BC","resid others","refined liquids","refined liquids",0.43966029669584
2,"BC","transportation","refined liquids","refined liquids",0.029848974327679
2,"OC","comm heating","coal","coal",13.7317255147729
2,"OC","comm heating","refined liquids","refined liquids",0.210501805635524
2,"OC","comm others","biomass","biomass",10.7762513124194
2,"OC","comm others","coal","coal",13.7317255147729
2,"OC","comm others","refined liquids","refined liquids",0.210501805635524
2,"OC","electricity","biomass","biomass (conv)",0.00690167905595383
2,"OC","electricity","coal","coal (conv pul)",1.27607639866467e-05
2,"OC","electricity","refined liquids","refined liquids (steam/CT)",0.00011179246852179
2,"OC","industrial energy use","biomass","biomass",0.0135912002574782
2,"OC","industrial energy use","coal","coal",0.0295589153987221
2,"OC","industrial energy use","refined liquids","refined liquids",0.0151522614476913
2,"OC","N fertilizer","refined liquids","refined liquids",0.0151522614476913
2,"OC","resid others","biomass","biomass",0
2,"OC","resid others","coal","coal",0
2,"OC","resid others","refined liquids","refined liquids",0.238149327376913
2,"OC","transportation","refined liquids","refined liquids",0.0174839833434619
3,"BC","comm heating","coal","coal",3.76084294221929
3,"BC","comm heating","refined liquids","refined liquids",0.0917207904830734
3,"BC","comm others","biomass","biomass",0.434257862283708
3,"BC","comm others","coal","coal",3.76084294221929
3,"BC","comm others","gas","gas",0
3,"BC","comm others","refined liquids","refined liquids",0.0917207904830734
3,"BC","electricity","coal","coal (conv pul)",7.02116752784855e-05
3,"BC","electricity","gas","gas (steam/CT)",6.04690667307349e-06
3,"BC","electricity","refined liquids","refined liquids (steam/CT)",0.000793645396113657
3,"BC","industrial energy use","biomass","biomass",0.00257238652127754
3,"BC","industrial energy use","coal","coal",0.0201999786110113
3,"BC","industrial energy use","gas","gas",4.73388726455387e-07
3,"BC","industrial energy use","refined liquids","refined liquids",0.0257863764459017
3,"BC","N fertilizer","gas","gas",4.73388726455387e-07
3,"BC","resid others","biomass","biomass",0
3,"BC","resid others","coal","coal",0
3,"BC","resid others","gas","gas",0.000150053345436572
3,"BC","resid others","refined liquids","refined liquids",0.0980480245104537
3,"BC","transportation","refined liquids","refined liquids",0.033054852514425
3,"OC","comm heating","coal","coal",3.06229279732916
3,"OC","comm heating","refined liquids","refined liquids",0.046943711664565
3,"OC","comm others","biomass","biomass",2.40319665148629
3,"OC","comm others","coal","coal",3.06229279732916
3,"OC","comm others","gas","gas",0.0010049546721474
3,"OC","comm others","refined liquids","refined liquids",0.046943711664565
3,"OC","electricity","coal","coal (conv pul)",3.43018871589547e-05
3,"OC","electricity","gas","gas (steam/CT)",3.02345333653674e-05
3,"OC","electricity","refined liquids","refined liquids (steam/CT)",0.000300506509208084
3,"OC","industrial energy use","biomass","biomass",0.00737087676289142
3,"OC","industrial energy use","coal","coal",0.0160306020455283
3,"OC","industrial energy use","gas","gas",3.31372108518771e-06
3,"OC","industrial energy use","refined liquids","refined liquids",0.00821748261332483
3,"OC","N fertilizer","gas","gas",3.31372108518771e-06
