# ../emissions-data/level1//L141.fgas_pct_USA_S_2005.csv
# Written by L141.fgas_USA_S_T_Y.R
# Fri Mar 14 14:51:51 2014
# " % of 2005 USA HFC & PFC emissions by sector / gas "
# " Unit = % "
"supplysector","subsector","stub.technology","EDGAR_agg_sector","Non.CO2","HFC_PFC","pct"
"electricity_net_ownuse","electricity_net_ownuse","electricity_net_ownuse","industry_processes","C2F6","PFC",0
"urban processes","fire_exting","fire_exting","fire exting","C2F6","PFC",0
"industrial processes","HCFC_22_Prod","HCFC_22_Prod","industry_processes","C2F6","PFC",0
"industrial processes","semiconductors","semiconductors","semiconductors","C2F6","PFC",0.509304911059551
"industrial processes","other industrial processes","other industrial processes","industry_processes","C2F6","PFC",0
"electricity_net_ownuse","electricity_net_ownuse","electricity_net_ownuse","industry_processes","CF4","PFC",0
"urban processes","fire_exting","fire_exting","fire exting","CF4","PFC",1
"industrial processes","HCFC_22_Prod","HCFC_22_Prod","industry_processes","CF4","PFC",0
"industrial processes","semiconductors","semiconductors","semiconductors","CF4","PFC",0.39416569992266
"industrial processes","other industrial processes","other industrial processes","industry_processes","CF4","PFC",0
"electricity_net_ownuse","electricity_net_ownuse","electricity_net_ownuse","industry_processes","HFC125","HFC",0
"urban processes","aerosols","aerosols","aerosols","HFC125","HFC",0
"urban processes","fire_exting","fire_exting","fire exting","HFC125","HFC",0.182026988228539
"industrial processes","HCFC_22_Prod","HCFC_22_Prod","industry_processes","HFC125","HFC",0
"industrial processes","semiconductors","semiconductors","semiconductors","HFC125","HFC",0
"resid cooling","electricity","electricity","refrigeration","HFC125","HFC",0.0555526350333186
"comm cooling","electricity","electricity","refrigeration","HFC125","HFC",0.0555526350333186
"industrial processes","other industrial processes","other industrial processes","industry_processes","HFC125","HFC",0
"electricity_net_ownuse","electricity_net_ownuse","electricity_net_ownuse","industry_processes","HFC134a","HFC",0
"urban processes","aerosols","aerosols","aerosols","HFC134a","HFC",1
"urban processes","fire_exting","fire_exting","fire exting","HFC134a","HFC",0
"industrial processes","HCFC_22_Prod","HCFC_22_Prod","industry_processes","HFC134a","HFC",0
"industrial processes","semiconductors","semiconductors","semiconductors","HFC134a","HFC",0
"resid cooling","electricity","electricity","refrigeration","HFC134a","HFC",0.389968153016618
"comm cooling","electricity","electricity","refrigeration","HFC134a","HFC",0.389968153016618
"industrial processes","other industrial processes","other industrial processes","industry_processes","HFC134a","HFC",0
"electricity_net_ownuse","electricity_net_ownuse","electricity_net_ownuse","industry_processes","HFC143a","HFC",0
"urban processes","aerosols","aerosols","aerosols","HFC143a","HFC",0
"urban processes","fire_exting","fire_exting","fire exting","HFC143a","HFC",0
"industrial processes","HCFC_22_Prod","HCFC_22_Prod","industry_processes","HFC143a","HFC",0
"industrial processes","semiconductors","semiconductors","semiconductors","HFC143a","HFC",0
"resid cooling","electricity","electricity","refrigeration","HFC143a","HFC",0.0458210789444442
"comm cooling","electricity","electricity","refrigeration","HFC143a","HFC",0.0458210789444442
"industrial processes","other industrial processes","other industrial processes","industry_processes","HFC143a","HFC",0
"electricity_net_ownuse","electricity_net_ownuse","electricity_net_ownuse","industry_processes","HFC23","HFC",0
"urban processes","aerosols","aerosols","aerosols","HFC23","HFC",0
"urban processes","fire_exting","fire_exting","fire exting","HFC23","HFC",0.084122882572495
"industrial processes","HCFC_22_Prod","HCFC_22_Prod","industry_processes","HFC23","HFC",1
"industrial processes","semiconductors","semiconductors","semiconductors","HFC23","HFC",1
"resid cooling","electricity","electricity","refrigeration","HFC23","HFC",0
"comm cooling","electricity","electricity","refrigeration","HFC23","HFC",0
"industrial processes","other industrial processes","other industrial processes","industry_processes","HFC23","HFC",0
"electricity_net_ownuse","electricity_net_ownuse","electricity_net_ownuse","industry_processes","HFC236fa","HFC",0
"urban processes","aerosols","aerosols","aerosols","HFC236fa","HFC",0
"urban processes","fire_exting","fire_exting","fire exting","HFC236fa","HFC",0.733850129198966
"industrial processes","HCFC_22_Prod","HCFC_22_Prod","industry_processes","HFC236fa","HFC",0
"industrial processes","semiconductors","semiconductors","semiconductors","HFC236fa","HFC",0
"resid cooling","electricity","electricity","refrigeration","HFC236fa","HFC",0.00108341756504204
"comm cooling","electricity","electricity","refrigeration","HFC236fa","HFC",0.00108341756504204
"industrial processes","other industrial processes","other industrial processes","industry_processes","HFC236fa","HFC",0
"electricity_net_ownuse","electricity_net_ownuse","electricity_net_ownuse","industry_processes","HFC32","HFC",0
"urban processes","aerosols","aerosols","aerosols","HFC32","HFC",0
"urban processes","fire_exting","fire_exting","fire exting","HFC32","HFC",0
"industrial processes","HCFC_22_Prod","HCFC_22_Prod","industry_processes","HFC32","HFC",0
"industrial processes","semiconductors","semiconductors","semiconductors","HFC32","HFC",0
"resid cooling","electricity","electricity","refrigeration","HFC32","HFC",0.00757471544057722
"comm cooling","electricity","electricity","refrigeration","HFC32","HFC",0.00757471544057722
"industrial processes","other industrial processes","other industrial processes","industry_processes","HFC32","HFC",0
"electricity_net_ownuse","electricity_net_ownuse","electricity_net_ownuse","industry_processes","SF6","PFC",1
"urban processes","fire_exting","fire_exting","fire exting","SF6","PFC",0
"industrial processes","HCFC_22_Prod","HCFC_22_Prod","industry_processes","SF6","PFC",0
"industrial processes","semiconductors","semiconductors","semiconductors","SF6","PFC",0.0965293890177881
"industrial processes","other industrial processes","other industrial processes","industry_processes","SF6","PFC",0
