# ../emissions-data/level1//L101.so2_tgej_USA_en_Sepa_F_Yh.csv
# Written by L101.nonghg_en_USA_S_T_Y.R
# Fri Mar 14 14:54:53 2014
# " SO2 emissions factors for the USA by EPA sector / fuel / historical year "
# " Unit = Tg / EJ "
"sector","fuel","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
"bld_comm","biomass",0.867999,0.914256,0.869813,0.838068,0.712902,0.795439,0.783648,0.763694,0.618574,0.678436,0.558712,0.575945,0.451686,0.460756,0.3628,0.390917,0.432639,0.42629,0.404522,0.58955,0.519711,0.543293,0.533316,0.541479,0.55327,0.4535,0.465291,0.418127,0.381847,0.388196,0.399987,0.385475,0,0,0,0,0,0,0,0
"bld_comm","coal",0.867999,0.914256,0.869813,0.838068,0.712902,0.795439,0.783648,0.763694,0.618574,0.678436,0.558712,0.575945,0.451686,0.460756,0.3628,0.390917,0.432639,0.42629,0.404522,0.58955,0.519711,0.543293,0.533316,0.541479,0.55327,0.4535,0.465291,0.418127,0.381847,0.388196,0.399987,0.385475,0,0,0,0,0,0,0,0
"bld_comm","gas",0.867999,0.914256,0.869813,0.838068,0.712902,0.795439,0.783648,0.763694,0.618574,0.678436,0.558712,0.575945,0.451686,0.460756,0.3628,0.390917,0.432639,0.42629,0.404522,0.58955,0.519711,0.543293,0.533316,0.541479,0.55327,0.4535,0.465291,0.418127,0.381847,0.388196,0.399987,0.385475,0,0,0,0,0,0,0,0
"bld_comm","refined liquids",0.867999,0.914256,0.869813,0.838068,0.712902,0.795439,0.783648,0.763694,0.618574,0.678436,0.558712,0.575945,0.451686,0.460756,0.3628,0.390917,0.432639,0.42629,0.404522,0.58955,0.519711,0.543293,0.533316,0.541479,0.55327,0.4535,0.465291,0.418127,0.381847,0.388196,0.399987,0.385475,0,0,0,0,0,0,0,0
"bld_resid","biomass",0.422662,0.324706,0.291147,0.283891,0.269379,0.287519,0.282984,0.267565,0.225843,0.203168,0.193191,0.200447,0.182307,0.200447,0.16326,0.16326,0.168702,0.173237,0.161446,0.138771,0.165074,0.168702,0.166888,0.166888,0.165981,0.107933,0.107026,0.098863,0.140585,0.140585,0.141492,0.126073,0,0,0,0,0,0,0,0
"bld_resid","coal",0.422662,0.324706,0.291147,0.283891,0.269379,0.287519,0.282984,0.267565,0.225843,0.203168,0.193191,0.200447,0.182307,0.200447,0.16326,0.16326,0.168702,0.173237,0.161446,0.138771,0.165074,0.168702,0.166888,0.166888,0.165981,0.107933,0.107026,0.098863,0.140585,0.140585,0.141492,0.126073,0,0,0,0,0,0,0,0
"bld_resid","gas",0.422662,0.324706,0.291147,0.283891,0.269379,0.287519,0.282984,0.267565,0.225843,0.203168,0.193191,0.200447,0.182307,0.200447,0.16326,0.16326,0.168702,0.173237,0.161446,0.138771,0.165074,0.168702,0.166888,0.166888,0.165981,0.107933,0.107026,0.098863,0.140585,0.140585,0.141492,0.126073,0,0,0,0,0,0,0,0
"bld_resid","refined liquids",0.422662,0.324706,0.291147,0.283891,0.269379,0.287519,0.282984,0.267565,0.225843,0.203168,0.193191,0.200447,0.182307,0.200447,0.16326,0.16326,0.168702,0.173237,0.161446,0.138771,0.165074,0.168702,0.166888,0.166888,0.165981,0.107933,0.107026,0.098863,0.140585,0.140585,0.141492,0.126073,0,0,0,0,0,0,0,0
"cement","all",0.547828,0.561433,0.564154,0.542386,0.463477,0.510641,0.582294,0.62583,0.629458,0.57141,0.548735,0.481617,0.517897,0.563247,0.174144,0.17233,0.165981,0.160539,0.156004,0.164167,0.149655,0.152376,0.15419,0.151469,0.155097,0.151469,0.164167,0.165981,0.138771,0.146934,0.156911,0.160539,0,0,0,0,0,0,0,0
"coal","all",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000907,0.000907,0.000907,0.000907,0.000907,0.003628,0.006349,0.006349,0.006349,0.007256,0.008163,0.007256,0.007256,0.007256,0.008163,0.008163,0.008163,0.008163,0,0,0,0,0,0,0,0
