# ../emissions-data/level1//L101.in_EJ_R_en_Si_F_Yh.csv
# Written by L101.nonghg_en_USA_S_T_Y.R
# Fri Mar 14 14:54:53 2014
# " Energy consumption by region / GCAM sector / fuel / historical year "
# " Unit = EJ "
"GCAM_region_ID","sector","fuel","technology","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010"
1,"electricity generation","biomass","biomass (conv)",0.00259532,0.00284648,0.00297206,0.00263718,0.00200928,0.00280462,0.00506506,0.0035581,0.0052325,0.00456274,0.00393484,0.0018837,0.00280462,0.00368368,0.01481844,0.01310218,0.01649284,0.01871142,0.02666482,0.39314912,0.38548874,0.42169764,0.29913156,0.34400548,0.38109344,0.40252576,0.39373516,0.37293074,0.39566072,0.4014374,0.39963742,0.4795063,0.4941573,0.49105966,0.49654332,0.49294336,0.49838516,0.50709204,0.49549682,0.5138315
2,"electricity generation","biomass","biomass (conv)",0.00100464,0.00100464,0.0010465,0.00108836,0.00113022,0.00117208,0.00121394,0.00129766,0.00133952,0.00138138,0.00142324,0.00150696,0.00154882,0.00159068,0.0016744,0.00171626,0.00179998,0.00184184,0.00192556,0.00196742,0.00205114,0.00213486,0.00217672,0.0014651,0.0014651,0.0014651,0.0014651,0.0014651,0.0014651,0.00380926,0.00380926,0.00380926,0.00380926,0.00380926,0.00380926,0.00380926,0.00380926,0.00380926,0.00380926,0.00380926
3,"electricity generation","biomass","biomass (conv)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"electricity generation","biomass","biomass (conv)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"electricity generation","biomass","biomass (conv)",0.002093,0.002093,0.002093,0.00213486,0.00213486,0.00217672,0.00217672,0.00221858,0.00221858,0.00221858,0.00226044,0.00226044,0.00226044,0.0023023,0.0023023,0.00234416,0.00234416,0.00238602,0.00238602,0.0025116,0.00276276,0.00267904,0.0027209,0.0027209,0.00284648,0.00288834,0.00297206,0.00297206,0.00305578,0.0031395,0.00318136,0.00330694,0.00276276,0.00452088,0.00468832,0.01096732,0.00548366,0.00493948,0.0052325,0.00514878
6,"electricity generation","biomass","biomass (conv)",0.0014651,0.00150696,0.0014651,0.00552552,0.00619528,0.0060697,0.0052325,0.00485576,0.0050232,0.0046046,0.00485576,0.00619528,0.00514878,0.00527436,0.00548366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018837,0.0035581,0.00477204,0.0098371,0.00992082,0.0100464,0.01134406,0.0089999,0.0094185
7,"electricity generation","biomass","biomass (conv)",0.00598598,0.00661388,0.00653016,0.00694876,0.00761852,0.00766038,0.0102557,0.01163708,0.01460914,0.01540448,0.0169533,0.01954862,0.02507414,0.02515786,0.02833922,0.02959502,0.03340428,0.03131128,0.0305578,0.03106012,0.03470194,0.04001816,0.0414414,0.04462276,0.04663204,0.05621798,0.06124118,0.06245512,0.06940388,0.06538532,0.07396662,0.08384558,0.09866402,0.10326862,0.11482198,0.11959402,0.13658918,0.1515332,0.17677478,0.24274614
8,"electricity generation","biomass","biomass (conv)",0.00799526,0.0079534,0.00824642,0.00812084,0.00602784,0.00623714,0.00632086,0.00699062,0.00719992,0.0096278,0.0182091,0.0205114,0.02000908,0.02235324,0.01599052,0.01770678,0.0219765,0.02373462,0.03323684,0.03675308,0.03692052,0.04194372,0.04571112,0.05445986,0.05353894,0.05542264,0.05948306,0.06350162,0.0726271,0.07174804,0.07547358,0.07949214,0.07957586,0.0772317,0.08070608,0.07635264,0.0734643,0.06078072,0.0665574,0.07526428
9,"electricity generation","biomass","biomass (conv)",0.0322105764855873,0.0305201194165199,0.0311938484790978,0.0326257867943366,0.0327638286682978,0.0343516361969515,0.0345524760683796,0.0382511907412378,0.0374638577671894,0.0366715426494676,0.0392077125495054,0.0420575366080277,0.0427675175938306,0.0446898777933302,0.0413237879080814,0.0437933159718042,0.0449187759118801,0.0490433329009762,0.0512391939295524,0.0579033992756284,0.0538451647782716,0.0556300001318266,0.0439953007723794,0.0450858064749981,0.038641117659474,0.0440669664287757,0.0477098621310964,0.0408282432677417,0.0504809227301267,0.0491412644238688,0.0489559153403419,0.0477236293612504,0.0701001632818771,0.0723002641532969,0.0666483676270243,0.0720724106086523,0.0811141367082294,0.0724737875462914,0.101189964522743,0.0968784858433717
10,"electricity generation","biomass","biomass (conv)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
