# File: assumptions_R.csv,,,,
# Description: Specifies region-specific assumptions in the emissions system,,,,
# ----------,,,,
GCAM_region_ID,region,MAC_region,bio_N2O_coef,SO2_name
1,USA,United States,0.011314286,SO2_1
2,Canada,Canada,0.014327954,SO2_1
3,Western Europe,EU-15,0.010212662,SO2_1
4,Japan,Japan,0.006583467,SO2_2
5,Australia_NZ,Australia&NZ,0.02357597,SO2_3
6,Former Soviet Union,CIS,0.004930186,SO2_4
7,China,China,0.009519354,SO2_2
8,Middle East,Middle East,0.015843792,SO2_3
9,Africa,Africa,0.009445905,SO2_3
10,Latin America,Latin America,0.008163204,SO2_3
11,Southeast Asia,South-SE Asia,0.0095297,SO2_2
12,Eastern Europe,Non-EU Europe,0.006412916,SO2_1
13,Korea,South Korea,0.007774893,SO2_2
14,India,India,0.005656341,SO2_2
