# File: assumptions_R.csv,,,,
# Description: Specifies region-specific assumptions in the emissions system,,,,
# ----------,,,,
GCAM_region_ID,region,MAC_region,bio_N2O_coef,SO2_name
1,USA,United States,0.011314286,SO2_1
2,Africa_Eastern,Africa,0.009445905,SO2_3
3,Africa_Northern,Africa,0.009445905,SO2_3
4,Africa_Southern,Africa,0.009445905,SO2_3
5,Africa_Western,Africa,0.009445905,SO2_3
6,Australia_NZ,Australia&NZ,0.02357597,SO2_3
7,Brazil,Brazil,0.008163204,SO2_3
8,Canada,Canada,0.014327954,SO2_1
9,Central America and Caribbean,Latin America,0.008163204,SO2_3
10,Central Asia,South-SE Asia,0.0095297,SO2_2
11,China,China,0.009519354,SO2_2
12,EU-12,EU-15,0.010212662,SO2_1
13,EU-15,EU-15,0.010212662,SO2_1
14,Europe_Eastern,Eastern Europe,0.006412916,SO2_1
15,Europe_Non_EU,Non-EU Europe,0.006412916,SO2_1
16,European Free Trade Association,EU-15,0.010212662,SO2_1
17,India,India,0.005656341,SO2_2
18,Indonesia,South-SE Asia,0.0095297,SO2_2
19,Japan,Japan,0.006583467,SO2_2
20,Mexico,Mexico,0.008163204,SO2_3
21,Middle East,Middle East,0.015843792,SO2_3
22,Pakistan,South-SE Asia,0.0095297,SO2_2
23,Russia,Russia,0.004930186,SO2_4
24,South Africa,Africa,0.009445905,SO2_3
25,South America_Northern,Latin America,0.008163204,SO2_3
26,South America_Southern,Latin America,0.008163204,SO2_3
27,South Asia,South-SE Asia,0.0095297,SO2_2
28,South Korea,South Korea,0.007774893,SO2_2
29,Southeast Asia,South-SE Asia,0.0095297,SO2_2
30,Taiwan,South-SE Asia,0.0095297,SO2_2
31,Argentina,Latin America,0.008163204,SO2_3
32,Colombia,Latin America,0.008163204,SO2_3
