Gas,HFC_PFC,GWP
HFC245fa,HFC,1030
HFC134a,HFC,1430
HFC125,HFC,3500
SF6,PFC,22800
C2F6,PFC,12200
CF4,PFC,7390
HFC23,HFC,14800
HFC32,HFC,675
HFC143a,HFC,4470
HFC236fa,HFC,9810
