# Assumed global default emissions factors (kg C per GJ),
PrimaryFuelCO2Coef.name,PrimaryFuelCO2Coef
biomass,0
regional biomass,23
delivered biomass,23
regional biomassOil,19.6
regional sugar for ethanol,19.6
regional corn for ethanol,19.6
coal,27.3
regional coal,27.3
delivered coal,27.3
natural gas,14.2
gas processing,14.2
gas pipeline,14.2
wholesale gas,14.2
delivered gas,14.2
crude oil,19.6
unconventional oil,21.1
unconventional oil production,19.6
traded unconventional oil,19.6
regional oil,19.6
refining,19.6
refined liquids industrial,19.6
refined liquids enduse,19.6
limestone,0.08
